dataset_index,utt_id,speaker_id,pinyin,syllable_base,tone,speaker_variety,pinyin_variety,pinyin_source,duration_seconds,mean_f0_hz,median_f0_hz,min_f0_hz,max_f0_hz,f0_range_hz,f0_start,f0_25,f0_50,f0_75,f0_end,slope_start_to_mid,slope_mid_to_end,voiced_proportion,slope_start_to_mid_hz_per_s,slope_mid_to_end_hz_per_s,f0_sd_hz,voiced_frames,total_frames,flags
1157,SSB00120340,SSB0012,wo2,wo,2,mainland,mainland,corpus,0.14,243.32,241.409,230.897,259.985,29.0881,231.936,235.757,241.409,250.524,256.086,21.3259,31.4388,0.736842,291.501,451.59,9.95303,14,19,
1162,SSB00120340,SSB0012,jiu4,jiu,4,mainland,mainland,corpus,0.36,223.629,218.715,211.865,279.997,68.1319,216.047,212.904,220.08,243.471,222.458,2.06567,1.20048,0.888889,26.0182,15.3432,14.6186,56,63,
1196,SSB00120378,SSB0012,he2,he,2,mainland,mainland,corpus,0.42,212.067,215.357,193.669,226.054,32.3851,215.825,214.395,217.87,215.674,193.752,0.882629,-10.9788,1,11.0554,-130.368,8.48363,75,75,
1212,SSB00120410,SSB0012,wo3,wo,3,mainland,mainland,corpus,0.6,207.322,200.864,179.348,261.764,82.4162,253.464,206.227,196.502,182.461,198.75,-16.172,0.722558,0.927273,-209.037,8.24814,20.9984,102,110,
1216,SSB00120414,SSB0012,shi4,shi,4,mainland,mainland,corpus,0.22,262.625,269.404,224.885,275.734,50.8491,224.885,224.885,273.769,273.769,265.77,41.2757,-6.22211,0.352941,592.53,-96.9489,18.0767,12,34,
1217,SSB00120414,SSB0012,wo2,wo,2,mainland,mainland,corpus,0.2,211.59,209.208,203.568,233.877,30.309,226.889,210.913,204.185,208.186,214.033,-24.3372,10.8732,1,-302.715,131.309,7.74358,31,31,
1218,SSB00120414,SSB0012,zhi3,zhi,3,mainland,mainland,corpus,0.22,222.901,227.323,197.569,234.976,37.4073,234.436,228.025,231.673,219.496,201.191,-2.48835,-29.6034,0.823529,-33.4972,-369.477,11.4096,28,34,
1221,SSB00120420,SSB0012,zhe4,zhe,4,mainland,mainland,corpus,0.18,284.589,283.84,272.168,297.928,25.7603,297.876,288.57,283.84,279.268,274.753,-22.2836,-15.0218,0.592593,-374.305,-242.321,7.70589,16,27,
1235,SSB00120449,SSB0012,zhe4,zhe,4,mainland,mainland,corpus,0.18,288.465,287.288,285.503,297.042,11.539,291.407,289.632,287.288,286.458,285.827,-6.16036,-2.2077,0.62963,-102.959,-36.5422,2.92903,17,27,
1243,SSB00120457,SSB0012,tai4,tai,4,mainland,mainland,corpus,0.34,230.809,256.136,190.7,272.499,81.7995,191.064,192.156,265.264,269.293,260.125,39.1757,-2.33557,0.610169,511.725,-35.4385,37.6026,36,59,
1251,SSB00120471,SSB0012,jiu4,jiu,4,mainland,mainland,corpus,0.26,202.877,210.048,93.8205,270.896,177.076,210.048,201.481,96.9773,263.138,235.472,-127.428,146.267,0.767442,-1076.86,1319,55.2616,33,43,octave_span
1256,SSB00120473,SSB0012,dui4,dui,4,mainland,mainland,corpus,0.24,241.365,241.626,180.918,290.419,109.5,183.414,280.056,272.388,241.819,236.282,72.0708,-25.9145,0.769231,936.57,-380.069,34.2174,30,39,
1265,SSB00120479,SSB0012,wo3,wo,3,mainland,mainland,corpus,0.3,233.259,233.78,199.816,267.908,68.0921,265.315,252.97,234.722,214.015,201.158,-16.9687,-21.3714,1,-244.75,-268.506,22.3248,51,51,
1270,SSB00120483,SSB0012,ye3,ye,3,mainland,mainland,corpus,0.3,264.376,274.14,222.913,279.537,56.6246,274.068,278.698,276.488,252.334,227.109,1.21721,-27.2478,1,19.3543,-395.031,18.0937,51,51,
1278,SSB00120500,SSB0012,wo3,wo,3,mainland,mainland,corpus,0.34,224.492,223.617,216.179,235.995,19.8159,218.129,226.092,224.845,223.546,219.647,3.88872,-2.99934,0.932203,49.7469,-38.5022,4.78331,55,59,
1283,SSB00120503,SSB0012,hui4,hui,4,mainland,mainland,corpus,0.32,235.097,223.081,209.241,272.102,62.8608,211.036,218.617,223.081,258.889,249.03,7.11794,14.1112,1,89.2203,192.214,20.6365,55,55,
1286,SSB00120509,SSB0012,cong2,cong,2,mainland,mainland,corpus,0.2,255.758,253.581,248.082,271.371,23.2884,266.369,260.916,253.581,248.967,248.35,-22.7133,-9.62272,0.516129,-341.011,-139.489,7.5283,16,31,
1294,SSB00160010,SSB0016,wo3,wo,3,mainland,mainland,corpus,0.2,202.356,201.971,190.481,212.795,22.3143,212.366,208.647,201.971,192.5,198.339,-11.9849,-4.33272,0.967742,-143.387,-50.0909,7.1406,30,31,
1303,SSB00160012,SSB0016,ni3,ni,3,mainland,mainland,corpus,0.16,191.677,192.248,184.815,197.785,12.9699,189.219,197.293,195.272,187.878,185.531,10.903,-17.7187,0.913043,121.063,-194.828,4.67686,21,23,
1306,SSB00160014,SSB0016,ni3,ni,3,mainland,mainland,corpus,0.14,206.188,209.069,193.02,216.514,23.4944,212.619,210.679,209.069,200.831,195.643,-6.4769,-25.5348,1,-78.8792,-298.355,6.85462,19,19,
1314,SSB00160016,SSB0016,shi4,shi,4,mainland,mainland,corpus,0.18,266.22,264.153,256.228,279.129,22.9005,278.208,273.467,264.153,259.813,257.536,-32.6371,-15.9695,0.444444,-511.114,-240.6,8.24113,12,27,
1337,SSB00160040,SSB0016,wo3,wo,3,mainland,mainland,corpus,0.4,208.578,203.648,161.996,274.182,112.186,268.334,239.394,203.648,178.108,167.655,-36.0409,-25.4108,0.760563,-488.195,-271.641,32.7341,54,71,
1351,SSB00160053,SSB0016,shi4,shi,4,mainland,mainland,corpus,0.22,221.594,217.232,191.175,260.835,69.6591,193.78,198.532,228.894,259.989,240.714,34.947,10.5655,0.411765,425.626,143.268,28.0681,14,34,
1355,SSB00160057,SSB0016,bei4,bei,4,mainland,mainland,corpus,0.46,183.65,186.297,92.5669,263.316,170.749,186.801,179.358,93.5207,246.629,218.83,-58.4279,71.7922,0.843373,-455.024,611.263,58.6755,70,83,octave_span|frame_jump
1365,SSB00160066,SSB0016,zhe4,zhe,4,mainland,mainland,corpus,0.16,248.832,252.082,228.275,262.152,33.8777,261.066,260.81,252.082,237.117,230.669,-12.762,-32.3547,0.869565,-189.117,-450.807,12.1277,20,23,
1376,SSB00160070,SSB0016,dui4,dui,4,mainland,mainland,corpus,0.34,213.075,225.324,161.853,246.242,84.3889,163.768,176.682,220.81,243.987,234.351,35.6816,7.10614,0.59322,393.393,93.3866,33.1946,35,59,
1416,SSB00160118,SSB0016,dan4,dan,4,mainland,mainland,corpus,0.16,123.924,123.991,119.112,128.129,9.01654,127.334,127.478,123.991,121.414,119.676,-10.2339,-13.6275,0.826087,-74.2794,-95.8921,2.98672,19,23,
1426,SSB00160125,SSB0016,zuo4,zuo,4,mainland,mainland,corpus,0.32,213.011,210.828,194.083,249.603,55.5203,226.772,209.961,198.09,217.907,214.288,-17.3411,10.0795,0.963636,-212.46,119.985,12.4548,53,55,
1437,SSB00160142,SSB0016,dan4,dan,4,mainland,mainland,corpus,0.16,251.39,250.086,236.981,271.667,34.6859,265.185,257.472,250.086,244.614,238.176,-23.8803,-19.8776,0.782609,-355.276,-280.249,10.0406,18,23,
1439,SSB00160142,SSB0016,zuo4,zuo,4,mainland,mainland,corpus,0.24,209.211,188.076,173.335,253.818,80.4835,182.426,179.833,176.727,247.605,234.859,-5.78371,51.8237,0.794872,-59.9878,611.914,32.4571,31,39,
1446,SSB00160146,SSB0016,ta1,ta,1,mainland,mainland,corpus,0.14,342.188,265.634,262.277,484.325,222.048,483.365,483.103,263.665,264.473,265.403,-233.175,2.52757,0.894737,-4882.22,38.6213,107.307,17,19,
1455,SSB00160157,SSB0016,dan4,dan,4,mainland,mainland,corpus,0.18,254.801,255.322,239.646,266.95,27.3035,266.379,261.746,255.322,248.082,241.578,-14.6791,-19.1584,0.777778,-221.141,-274.873,8.37641,21,27,
1469,SSB00160160,SSB0016,yao4,yao,4,mainland,mainland,corpus,0.2,243.4,248.206,224.287,258.096,33.8083,224.89,232.408,255.988,251.154,248.074,29.897,-7.24933,1,414.64,-105.526,11.2696,31,31,
1471,SSB00160164,SSB0016,wo2,wo,2,mainland,mainland,corpus,0.14,232.977,227.93,197.421,264.588,67.1671,202.327,211.19,227.93,261.397,263.74,55.0083,67.3693,0.842105,682.741,954.948,25.2971,16,19,
1477,SSB00160167,SSB0016,ba3,ba,3,mainland,mainland,corpus,0.2,234.531,248.173,193.776,260.908,67.1324,251.489,249.361,250.526,216.412,198.358,-0.886289,-53.8965,1,-12.8501,-695.572,21.1515,31,31,
1480,SSB00160167,SSB0016,quan2,quan,2,mainland,mainland,corpus,0.26,190.672,186.492,176.67,226.303,49.6331,178.357,190.426,177.021,222.089,205.998,-1.24017,24.9958,0.651163,-12.7287,275.975,14.8573,28,43,
1486,SSB00160170,SSB0016,huan4,huan,4,mainland,mainland,corpus,0.26,254.943,252.81,239.026,288.975,49.9493,244.005,252.606,285.321,264.183,246.006,25.7913,-24.4448,0.790698,393.484,-374.428,13.3426,34,43,
1515,SSB00160199,SSB0016,ke3,ke,3,mainland,mainland,corpus,0.28,208.758,209.096,182.516,227.752,45.2361,214.579,199.264,214.388,224.854,189.324,-0.134506,-18.7164,1,-1.6664,-217.946,11.6857,47,47,
1518,SSB00160211,SSB0016,wo2,wo,2,mainland,mainland,corpus,0.16,218.018,221.178,199.611,232.467,32.8558,201.049,210.59,221.178,225.576,229.897,30.0345,12.1703,1,365.975,158.53,10.1175,23,23,
1527,SSB00160224,SSB0016,ni3,ni,3,mainland,mainland,corpus,0.12,214.097,213.078,209.149,227.177,18.028,215.147,213.029,214.369,213.707,211.194,-1.93006,-7.9481,1,-23.9422,-97.6863,4.31392,14,14,
1543,SSB00160255,SSB0016,wo2,wo,2,mainland,mainland,corpus,0.14,212.467,212.186,195.454,238.7,43.2463,195.759,196.857,212.186,223.517,234.157,30.9997,37.9055,1,365.039,488.24,14.9884,19,19,
1550,SSB00160262,SSB0016,dan4,dan,4,mainland,mainland,corpus,0.14,248.97,250.629,235.184,263.23,28.0462,257.205,251.437,250.629,245.973,238.354,-9.96453,-19.3201,1,-146.14,-272.789,6.94376,19,19,
1558,SSB00160263,SSB0016,dou1,dou,1,mainland,mainland,corpus,0.3,231.183,223.673,214.744,266.877,52.1339,221.801,221.85,217.14,247.006,246.808,-2.94199,17.7376,1,-37.2945,237.348,13.7511,51,51,
1565,SSB00160270,SSB0016,meng4,meng,4,mainland,mainland,corpus,0.38,207.196,189.242,161.015,258.163,97.1486,184.181,168.703,161.181,254.924,238.554,-13.9958,41.1369,0.80597,-139.394,468.926,38.181,54,67,
1571,SSB00160277,SSB0016,fang4,fang,4,mainland,mainland,corpus,0.22,240.8,244.826,221.392,252.831,31.4391,250.904,249.419,244.826,231.65,224.662,-8.48992,-29.7608,0.617647,-121.546,-403.29,10.2044,21,34,
1578,SSB00160282,SSB0016,you2,you,2,mainland,mainland,corpus,0.34,194.169,196.87,178.071,205.289,27.218,204.113,201.154,196.216,197.267,178.825,-4.71145,-11.0805,0.864407,-54.4665,-119.933,8.33741,51,59,
1583,SSB00160291,SSB0016,shuang1,shuang,1,mainland,mainland,corpus,0.2,265.703,265.771,246.663,276.956,30.2935,249.504,266.664,272.916,265.282,265.884,20.7025,-6.02496,1,312.152,-93.7499,7.83733,31,31,
1593,SSB00160295,SSB0016,wo3,wo,3,mainland,mainland,corpus,0.38,213.1,207.803,181.045,260.147,79.1019,255.518,232.511,192.551,190.399,190.049,-32.1193,-1.48502,0.776119,-412.898,-16.4091,25.4567,52,67,
1597,SSB00160299,SSB0016,you3,you,3,mainland,mainland,corpus,0.14,201.399,205.151,185.329,213.883,28.554,209.74,210.96,205.151,190.997,188.058,-8.51032,-33.4697,1,-101.971,-379.853,10.2293,19,19,
1601,SSB00160304,SSB0016,tian1,tian,1,mainland,mainland,corpus,0.2,259.732,254.422,245.25,284.756,39.5066,279.433,265.12,254.422,252.684,247.963,-38.196,-10.4753,0.580645,-588.486,-151.982,11.9638,18,31,
1610,SSB00160419,SSB0016,ni2,ni,2,mainland,mainland,corpus,0.14,237.405,238.228,213.156,256.635,43.4786,218.649,227.693,238.228,249.809,253.75,45.6843,33.6233,0.736842,602.441,477.591,14.7512,14,19,
1622,SSB00160435,SSB0016,ye3,ye,3,mainland,mainland,corpus,0.22,209.989,208.031,175.772,237.805,62.0336,237.587,232.737,208.031,191.602,180.173,-27.8776,-30.1694,1,-358.257,-337.671,20.6088,34,34,
1625,SSB00160435,SSB0016,qu4,qu,4,mainland,mainland,corpus,0.3,174.307,169.696,155.568,204.947,49.3789,169.344,169.664,193.919,193.919,166.496,18.7681,-21.1168,0.352941,196.603,-219.384,12.4481,18,51,
1648,SSB00160471,SSB0016,na4,na,4,mainland,mainland,corpus,0.22,229.731,231.121,208.512,244.79,36.2781,209.118,223.87,241.842,236.05,226.943,30.5087,-13.3429,1,396.653,-180.589,10.8722,34,34,
1651,SSB00160475,SSB0016,zai4,zai,4,mainland,mainland,corpus,0.2,245.072,245.203,231.451,257.176,25.7242,244.13,246.178,253.265,241.869,233.7,8.47961,-18.5582,1,121.799,-260.864,6.74874,31,31,
1672,SSB00160495,SSB0016,jin4,jin,4,mainland,mainland,corpus,0.52,225.118,199.409,191.736,272.999,81.263,194.659,196.786,197.48,272.128,265.507,1.05996,21.8067,0.494737,12.0043,289.479,34.696,47,95,
1676,SSB00160506,SSB0016,tong2,tong,2,mainland,mainland,corpus,0.2,229.293,228.076,224.283,243.925,19.6425,228.818,228.131,224.542,227.308,237.991,-6.22081,19.1813,0.709677,-81.4502,256.16,5.2721,22,31,
1682,SSB00380002,SSB0038,dui4,dui,4,mainland,mainland,corpus,0.12,231.592,231.792,229.767,232.625,2.8576,231.581,232.342,232.342,231.686,231.113,2.52467,-4.07837,0.714286,33.827,-54.5894,0.964796,10,14,
1684,SSB00380002,SSB0038,ben3,ben,3,mainland,mainland,corpus,0.2,179.134,179.568,167.589,189.501,21.912,180.998,176.685,179.568,184.329,170.383,-1.8304,-12.1197,1,-19.0608,-122.465,4.87852,31,31,
1689,SSB00380005,SSB0038,ba3,ba,3,mainland,mainland,corpus,0.22,217.343,224.653,169.635,246.16,76.5242,246.013,240.453,222.432,184.217,174.294,-21.1449,-51.1772,0.882353,-285.832,-583.494,26.9813,30,34,
1697,SSB00380015,SSB0038,cai2,cai,2,mainland,mainland,corpus,0.16,196.468,198.343,181.449,203.297,21.8487,192.587,194.621,201.927,202.472,202.668,46.8474,3.62276,0.347826,533.68,42.3324,7.65874,8,23,
1699,SSB00380015,SSB0038,zhe4,zhe,4,mainland,mainland,corpus,0.14,187.677,187.494,177.722,200.103,22.3805,181.109,179.85,187.494,196.406,192.062,13.3289,9.26179,1,141.881,101.523,8.32735,19,19,
1704,SSB00380021,SSB0038,dui4,dui,4,mainland,mainland,corpus,0.14,218.621,216.606,210.052,235.875,25.8231,227.355,223.182,216.606,211.973,211.032,-30.4911,-16.4117,0.631579,-390.883,-202.684,8.15615,12,19,
1723,SSB00380027,SSB0038,shi4,shi,4,mainland,mainland,corpus,0.16,265.489,265.043,262.673,269.315,6.64229,265.835,265.043,265.043,264.414,263.785,-5.1648,-8.23981,0.217391,-79.1886,-125.848,2.59652,5,23,low_voicing
1731,SSB00380048,SSB0038,yang3,yang,3,mainland,mainland,corpus,0.18,166.556,172.123,137.89,181.088,43.1982,180.121,180.08,172.123,155.751,140.733,-12.0971,-53.628,1,-123.045,-482.932,14.5228,27,27,
1742,SSB00380079,SSB0038,zuo4,zuo,4,mainland,mainland,corpus,0.16,211.91,216.385,194.89,229.173,34.2831,197.029,195.396,216.385,228.003,227.09,29.4975,15.1996,1,351.939,194.64,14.2176,23,23,
1745,SSB00380079,SSB0038,dou1,dou,1,mainland,mainland,corpus,0.14,221.313,227.785,195.51,239.627,44.1175,199.003,202.069,227.785,239.388,237.983,51.9679,16.8509,1,639.59,226.641,17.9473,19,19,
1748,SSB00380087,SSB0038,dui4,dui,4,mainland,mainland,corpus,0.14,248.954,247.648,233.935,270.239,36.3037,263.463,255.651,246.494,241.026,236.403,-32.9303,-20.6767,0.789474,-484.824,-288.328,10.4938,15,19,
1754,SSB00380087,SSB0038,he2,he,2,mainland,mainland,corpus,0.18,174.253,173.713,170.347,181.349,11.0019,172.172,173.112,177.106,174.998,170.482,7.52526,-10.1524,1,75.9064,-101.905,3.25059,27,27,
1771,SSB00380113,SSB0038,yao1,yao,1,mainland,mainland,corpus,0.24,209.166,203.707,199.051,233.487,34.4367,205.767,203.015,215.003,212.121,200.043,8.00137,-13.1424,1,97.2194,-157.469,10.2949,39,39,
1784,SSB00380119,SSB0038,jiu4,jiu,4,mainland,mainland,corpus,0.18,208.357,223.663,174.595,234.836,60.2404,177.127,174.792,219.934,234.204,229.562,57.6526,11.4117,0.814815,658.565,148.123,27.1789,22,27,
1787,SSB00380119,SSB0038,ni3,ni,3,mainland,mainland,corpus,0.28,156.342,156.921,131.327,176.754,45.427,173.752,162.842,157.011,152.666,136.331,-17.1123,-23.8543,0.893617,-163.331,-201.759,11.3388,42,47,
1793,SSB00380129,SSB0038,zai4,zai,4,mainland,mainland,corpus,0.14,230.144,226.368,224.855,247.819,22.9639,236.43,232.696,227.258,225.125,224.961,-27.3975,-7.03571,0.578947,-366.856,-91.89,7.39187,11,19,
1802,SSB00380152,SSB0038,shuo1,shuo,1,mainland,mainland,corpus,0.16,246.666,244.515,241.795,254.832,13.0369,250.447,247.161,244.515,243.734,243.044,-23.7119,-5.97018,0.347826,-338.947,-84.0673,4.95448,8,23,
1805,SSB00380152,SSB0038,bei4,bei,4,mainland,mainland,corpus,0.24,196.692,190.658,181.594,221.971,40.3771,190.576,182.567,186.518,215.087,204.299,-3.92259,16.5943,1,-42.7189,187.174,13.0825,39,39,
1823,SSB00380188,SSB0038,zai4,zai,4,mainland,mainland,corpus,0.16,231.617,227.758,220.86,255.357,34.4976,240.97,234.412,227.758,224.085,221.756,-43.3883,-20.5482,0.434783,-587.21,-266.751,11.2763,10,23,
1831,SSB00380195,SSB0038,zai4,zai,4,mainland,mainland,corpus,0.18,216.523,213.091,201.573,248.657,47.0838,213.167,212.684,205.573,227.549,209.318,-9.66184,4.80859,1,-116.835,57.6176,12.901,27,27,
1833,SSB00380196,SSB0038,zuo4,zuo,4,mainland,mainland,corpus,0.16,240.01,240.247,238.115,242.387,4.27158,239.53,240.402,240.667,239.926,238.868,2.73379,-4.33001,0.565217,37.9138,-59.9682,1.13597,13,23,
1841,SSB00380199,SSB0038,dan4,dan,4,mainland,mainland,corpus,0.16,240.427,237.694,233.727,263.243,29.5162,253.35,241.023,237.694,235.529,233.956,-24.5396,-6.09811,0.826087,-347.901,-83.0655,8.0657,19,23,
1863,SSB00380215,SSB0038,jiang1,jiang,1,mainland,mainland,corpus,0.22,234.878,234.764,230.585,239.426,8.84126,238.887,235.572,231.575,234.764,236.39,-11.3304,7.50076,0.588235,-153.939,101.372,2.92584,20,34,
1865,SSB00380215,SSB0038,dui4,dui,4,mainland,mainland,corpus,0.16,207.231,209.164,188.611,230.38,41.769,191.938,192.42,209.164,223.098,213.576,27.0524,6.57092,1,313.19,80.2228,15.6542,23,23,
1879,SSB00380218,SSB0038,wo3,wo,3,mainland,mainland,corpus,0.14,193.01,192.403,190.214,201.172,10.9589,193.733,191.512,191.117,192.617,192.934,-8.5597,5.95787,0.631579,-95.1386,66.083,2.92784,12,19,
1902,SSB00050235,SSB0005,shi4,shi,4,mainland,mainland,corpus,0.7,236.479,235.396,212.792,271.965,59.1733,266.13,245.625,231.943,214.142,233.158,-9.71544,0.368985,0.755725,-139.536,4.95644,17.2073,99,131,
1907,SSB00050255,SSB0005,zhe4,zhe,4,mainland,mainland,corpus,0.18,304.775,303.158,286.745,338.174,51.4291,330.277,311.213,303.158,292.273,287.791,-29.6655,-18.0126,0.777778,-542.379,-307.357,14.8496,21,27,
1917,SSB00050260,SSB0005,zai4,zai,4,mainland,mainland,corpus,0.36,262.536,258.62,251.062,295.753,44.6909,251.537,254.919,264.592,279.372,260.906,5.65163,-1.56678,1,84.2273,-23.7785,11.1943,63,63,
1962,SSB00050314,SSB0005,shi4,shi,4,mainland,mainland,corpus,0.44,251.589,246.133,233.539,304.514,70.9751,246.638,234.387,252.017,304.238,275.302,1.91549,7.84556,0.759494,27.5853,119.407,18.1521,60,79,
1965,SSB00050315,SSB0005,jiu4,jiu,4,mainland,mainland,corpus,0.54,269.342,261.798,243.382,320.394,77.0118,297.797,283.615,255.38,266.809,244.336,-12.6677,-3.64452,0.757576,-201.986,-52.5905,20.0766,75,99,
1971,SSB00050315,SSB0005,la1,la,1,mainland,mainland,corpus,0.26,233.632,233.222,231.015,237.04,6.02512,231.182,234.479,236.125,232.109,233.185,3.48824,-2.06571,1,47.0768,-27.9988,1.82078,43,43,
1989,SSB00380247,SSB0038,dou1,dou,1,mainland,mainland,corpus,0.16,184.914,180.939,176.496,193.979,17.4833,180.71,178.983,177.276,191.967,190.899,-6.03941,23.3043,1,-62.4398,247.689,6.68869,23,23,
2000,SSB00380280,SSB0038,rang4,rang,4,mainland,mainland,corpus,0.16,216.43,222.467,188.905,225.336,36.431,192.057,212.1,222.467,224.953,223.845,53.5712,2.25169,0.869565,640.198,29.0242,12.2272,20,23,
2011,SSB00380300,SSB0038,shi4,shi,4,mainland,mainland,corpus,0.18,224.968,225.152,217.944,232.517,14.5722,218.516,223.469,225.732,231.996,229.602,8.65329,4.52662,0.518519,111.016,59.5262,5.73285,14,27,
2016,SSB00380307,SSB0038,zuo4,zuo,4,mainland,mainland,corpus,0.22,216.865,215.487,195.473,241.424,45.951,207.266,205.756,212.374,235.684,223.82,5.10943,11.0148,1,61.9217,138.731,14.3193,34,34,
2019,SSB00380310,SSB0038,dui4,dui,4,mainland,mainland,corpus,0.14,235.965,236.231,232.38,240.061,7.68084,238.166,237.464,236.231,234.185,233.249,-6.27638,-9.77595,0.526316,-85.9931,-132.552,2.54338,10,19,
2023,SSB00380310,SSB0038,you3,you,3,mainland,mainland,corpus,0.14,160.218,159.044,157.397,164.227,6.83022,163.539,163.445,157.986,158.803,159.064,-13.2917,2.61639,1,-123.414,23.9576,2.50603,19,19,
2034,SSB00380351,SSB0038,ta1,ta,1,mainland,mainland,corpus,0.14,256.629,254.425,253.572,266.04,12.4683,260.039,257.549,254.425,253.849,253.784,-16.7956,-1.94022,0.526316,-249.544,-28.4778,4.1937,10,19,
2042,SSB00380356,SSB0038,xin1,xin,1,mainland,mainland,corpus,0.2,195.37,192.216,190.039,204.332,14.2922,203.107,199.973,193.593,190.829,190.524,-27.6842,-9.22001,0.419355,-317.121,-102.282,5.58228,13,31,
2078,SSB00380459,SSB0038,zai4,zai,4,mainland,mainland,corpus,0.2,177.562,183.406,154.209,190.888,36.6791,154.87,154.385,187.704,188.854,182.713,44.3842,-6.2207,0.483871,437.785,-66.5453,14.4522,15,31,
2089,SSB00430003,SSB0043,wo3,wo,3,mainland,mainland,corpus,0.14,225.961,230.457,206.436,235.092,28.6553,234.924,234.843,230.457,217.997,210.553,-7.386,-34.749,1,-99.2701,-442.293,10.0045,19,19,
2091,SSB00430003,SSB0043,wo2,wo,2,mainland,mainland,corpus,0.24,234.778,235.198,195.319,272.21,76.8913,271.946,256.591,235.198,212.615,195.651,-26.4558,-33.5486,1,-386.817,-416.284,25.5257,39,39,
2097,SSB00430012,SSB0043,wo3,wo,3,mainland,mainland,corpus,0.36,270.137,262.277,230.197,329.515,99.3183,326.22,294.496,262.277,245.065,230.921,-29.054,-16.9563,0.84127,-491.865,-241.202,31.6154,53,63,
2105,SSB00430056,SSB0043,ni2,ni,2,mainland,mainland,corpus,0.14,300.667,296.265,288.186,322.672,34.4855,291.721,289.328,296.265,309.289,317.597,5.94729,26.7489,1,100.993,474.042,11.2772,19,19,
2113,SSB00430081,SSB0043,dui4,dui,4,mainland,mainland,corpus,0.34,283.3,277.956,268.369,328.081,59.7113,270.064,277.956,277.195,304.599,283.073,3.11165,2.50539,0.949153,49.1782,40.5386,13.3047,56,59,
2117,SSB00430081,SSB0043,lai2,lai,2,mainland,mainland,corpus,0.32,215.885,215.512,206.067,226.678,20.6107,217.712,224.627,213.544,214.556,206.676,-2.47856,-4.19229,1,-30.8699,-50.8749,5.70647,55,55,
2144,SSB00430159,SSB0043,wo3,wo,3,mainland,mainland,corpus,0.18,233.879,232.496,226.454,254.153,27.699,245.671,233.507,234.71,229.534,227.09,-12.6421,-9.14288,0.962963,-175.365,-121.93,6.63274,26,27,
2148,SSB00430159,SSB0043,lai2,lai,2,mainland,mainland,corpus,0.2,213.578,209.614,192.589,242.719,50.1306,239.13,228.044,207.332,193.914,206.717,-32.9366,-0.685214,1,-423.975,-8.19392,17.5203,31,31,
2153,SSB00430173,SSB0043,wo3,wo,3,mainland,mainland,corpus,0.36,267.584,269.195,227.23,293.034,65.8046,268.623,279.878,288.953,261.432,231.976,8.14865,-24.5311,0.84127,131.163,-367.594,17.8347,53,63,
2165,SSB00430184,SSB0043,you2,you,2,mainland,mainland,corpus,0.18,269.514,265.563,262.203,293.609,31.4058,264.127,264.15,264.381,272.955,288.773,0.256456,23.5047,1,3.91453,375.262,8.58639,27,27,
2217,SSB00430270,SSB0043,ni3,ni,3,mainland,mainland,corpus,0.22,238.887,239.325,231.462,253.601,22.1386,246.461,241.676,239.325,234.977,233.062,-6.16552,-5.56522,1,-86.4965,-75.9223,4.61624,34,34,
2224,SSB00430276,SSB0043,ye3,ye,3,mainland,mainland,corpus,0.2,128.865,119.523,101.908,201.139,99.2311,195.874,130.628,103.098,105.7,141.237,-148.145,72.6562,0.903226,-1237.01,508.52,31.7645,28,31,
2229,SSB00430282,SSB0043,wo3,wo,3,mainland,mainland,corpus,0.16,244.617,244.739,236.133,260.805,24.6721,256.502,245.947,244.964,238.48,236.63,-14.4874,-10.8955,1,-209.782,-151.529,6.84497,23,23,
2231,SSB00430282,SSB0043,jiu4,jiu,4,mainland,mainland,corpus,0.22,253.953,254.746,241.129,273.839,32.7093,241.403,242.787,264.29,264.028,255.881,19.0077,-6.78544,1,277.419,-101.93,11.5488,34,34,
2249,SSB00430294,SSB0043,cong2,cong,2,mainland,mainland,corpus,0.14,282.556,280.07,277.943,294.819,16.876,290.504,285.873,279.262,278.206,279.085,-18.2207,-0.29124,0.842105,-299.791,-4.69645,5.40225,16,19,
2254,SSB00430294,SSB0043,ta1,ta,1,mainland,mainland,corpus,0.22,277.935,272.759,266.85,296.309,29.4584,272.759,270.917,268.602,268.604,292.731,-3.22257,18.0511,0.705882,-50.3843,292.464,11.1529,24,34,
2262,SSB00430311,SSB0043,ni3,ni,3,mainland,mainland,corpus,0.14,265.389,264.716,255.982,280.16,24.1781,276.32,271.887,264.716,257.37,256.578,-16.5057,-12.013,1,-257.873,-180.847,8.0555,19,19,
2265,SSB00430311,SSB0043,jiu4,jiu,4,mainland,mainland,corpus,0.34,239.05,232.714,229.328,273.862,44.5344,231.927,233.295,230.52,270.201,253.786,-0.726327,11.4799,0.881356,-9.7008,160.45,13.117,52,59,
2268,SSB00430324,SSB0043,zhe4,zhe,4,mainland,mainland,corpus,0.14,332.548,332.168,313.484,358.84,45.3559,346.555,339.773,332.168,324.956,318.019,-18.351,-18.8401,0.894737,-359.668,-353.725,12.0501,17,19,
2270,SSB00430324,SSB0043,yi2,yi,2,mainland,mainland,corpus,0.34,256.762,254.249,234.921,281.816,46.8949,277.778,253.251,264.845,249.307,251.172,-5.69245,-6.329,0.932203,-89.1928,-94.3,12.2475,55,59,
