Question ID,Word Key,Source Type,Chapter,Section,Item,Traditional Chinese,Pinyin,POS,English Meaning,Round,Question Type,Input Mode,Prompt,Option A,Option B,Option C,Option D,Correct Option,Correct Answer,Accepted Answers
Q0108,C5-5-2-I12-W036,Vocabulary,5,5-2,12,前(面),qián(miàn),N,the front; the front side; ahead; in front,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我旁邊有日本同學，____跟後面都有美國同學。,客廳,外面,前面,哥哥,C,前面,前面 | 前
Q0109,C5-5-2-I12-W037,Vocabulary,5,5-2,12,後(面),hòu(miàn),N,at the back; behind,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「後(面)」.,furniture,above; over; on top of; on the surface of,elder sister,at the back; behind,D,at the back; behind,
Q0110,C5-5-2-I12-W037,Vocabulary,5,5-2,12,後(面),hòu(miàn),N,at the back; behind,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「後(面)」 (tone marks or tone numbers are accepted).,,,,,,hòu(miàn),hòumiàn | hou4mian4 | hou4 mian4 | hòu(miàn) | hou4(mian4) | hòu | hou4
Q0111,C5-5-2-I12-W037,Vocabulary,5,5-2,12,後(面),hòu(miàn),N,at the back; behind,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我旁邊有日本同學，前面跟____都有美國同學。,後面,姐姐,客廳,下面,A,後面,後面 | 後
Q0112,C5-5-2-I13-W038,Vocabulary,5,5-2,13,幫,bāng,V,to help,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「幫」.,to listen,table,to look for,to help,D,to help,
Q0113,C5-5-2-I13-W038,Vocabulary,5,5-2,13,幫,bāng,V,to help,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「幫」 (tone marks or tone numbers are accepted).,,,,,,bāng,bāng | bang1
Q0114,C5-5-2-I13-W038,Vocabulary,5,5-2,13,幫,bāng,V,to help,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 他常常____朋友，是一個好人。,幫,聽,曬太陽,找,A,幫,幫
Q0115,C5-5-2-I14-W039,Vocabulary,5,5-2,14,找,zhǎo,V,to look for,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「找」.,to look for,to listen,younger sister,to help,A,to look for,
Q0116,C5-5-2-I14-W039,Vocabulary,5,5-2,14,找,zhǎo,V,to look for,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「找」 (tone marks or tone numbers are accepted).,,,,,,zhǎo,zhǎo | zhao3
Q0117,C5-5-2-I14-W039,Vocabulary,5,5-2,14,找,zhǎo,V,to look for,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 你要____什麼？我幫你找。,幫,妹妹,聽,找,D,找,找
Q0118,C5-5-2-I15-W040,Vocabulary,5,5-2,15,廚房,chúfáng,N,kitchen,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「廚房」.,café,chair,kitchen,afternoon tea,C,kitchen,
Q0119,C5-5-2-I15-W040,Vocabulary,5,5-2,15,廚房,chúfáng,N,kitchen,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「廚房」 (tone marks or tone numbers are accepted).,,,,,,chúfáng,chúfáng | chu2fang2 | chu2 fang2
Q0120,C5-5-2-I15-W040,Vocabulary,5,5-2,15,廚房,chúfáng,N,kitchen,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我家的____很大，我常常在家做飯。,前面,廚房,客廳,裡面,B,廚房,廚房
Q0121,C5-5-2-I16-W041,Vocabulary,5,5-2,16,再,zài,Adv,again,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「再」.,TV (television),(to be located) at; in; on,chair,again,D,again,
Q0122,C5-5-2-I16-W041,Vocabulary,5,5-2,16,再,zài,Adv,again,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「再」 (tone marks or tone numbers are accepted).,,,,,,zài,zài | zai4
Q0123,C5-5-2-I16-W041,Vocabulary,5,5-2,16,再,zài,Adv,again,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 那家咖啡廳怎麼樣？你想____去嗎？,再,弟弟,曬太陽,找,A,再,再
Q0124,C5-5-3-I1-W042,Vocabulary,5,5-3,1,床,chuáng,N,bed,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「床」.,bed,chocolate,outside,café,A,bed,
Q0125,C5-5-3-I1-W042,Vocabulary,5,5-3,1,床,chuáng,N,bed,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「床」 (tone marks or tone numbers are accepted).,,,,,,chuáng,chuáng | chuang2
Q0126,C5-5-3-I1-W042,Vocabulary,5,5-3,1,床,chuáng,N,bed,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 哥哥喜歡在____上看書。,床,門,狗,家具,A,床,床
Q0127,C5-5-3-I1-W043,Vocabulary,5,5-3,1,家具,jiājù,N,furniture,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「家具」.,living room,door,chair,furniture,D,furniture,
Q0128,C5-5-3-I1-W043,Vocabulary,5,5-3,1,家具,jiājù,N,furniture,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「家具」 (tone marks or tone numbers are accepted).,,,,,,jiājù,jiājù | jia1ju4 | jia1 ju4
Q0129,C5-5-3-I1-W043,Vocabulary,5,5-3,1,家具,jiājù,N,furniture,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這個新房子沒有很多____。,狗,家具,床,電視機,B,家具,家具
Q0130,C5-5-3-I2-W044,Vocabulary,5,5-3,2,電視(機),diànshì(jī),N,TV (television),Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「電視(機)」.,chocolate,here,TV (television),elder sister,C,TV (television),
Q0131,C5-5-3-I2-W044,Vocabulary,5,5-3,2,電視(機),diànshì(jī),N,TV (television),Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「電視(機)」 (tone marks or tone numbers are accepted).,,,,,,diànshì(jī),diànshì(jī) | dian4shi4(ji1) | dian4 shi4(ji1) | diànshìjī | dian4shi4ji1 | dian4 shi4 ji1 | diànshì | dian4shi4 | dian4 shi4
Q0132,C5-5-3-I2-W044,Vocabulary,5,5-3,2,電視(機),diànshì(jī),N,TV (television),Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我想買一台____。,窗戶,鳥,電視機,狗,C,電視機,電視機 | 電視
Q0133,C5-5-3-I3-W045,Vocabulary,5,5-3,3,窗戶,chuānghù,N,window,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「窗戶」.,furniture,sofa,elder sister,window,D,window,
Q0134,C5-5-3-I3-W045,Vocabulary,5,5-3,3,窗戶,chuānghù,N,window,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「窗戶」 (tone marks or tone numbers are accepted).,,,,,,chuānghù,chuānghù | chuang1hu4 | chuang1 hu4
Q0135,C5-5-3-I3-W045,Vocabulary,5,5-3,3,窗戶,chuānghù,N,window,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: ____前面有很多花，很漂亮。,鳥,床,電視機,窗戶,D,窗戶,窗戶
Q0136,C5-5-3-I3-W046,Vocabulary,5,5-3,3,門,mén,N,door,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「門」.,door,chocolate,the front; the front side; ahead; in front,chair,A,door,
Q0137,C5-5-3-I3-W046,Vocabulary,5,5-3,3,門,mén,N,door,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「門」 (tone marks or tone numbers are accepted).,,,,,,mén,mén | men2
Q0138,C5-5-3-I3-W046,Vocabulary,5,5-3,3,門,mén,N,door,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 弟弟在____後面。,電視機,窗戶,門,鳥,C,門,門
Q0139,C5-5-3-I4-W047,Vocabulary,5,5-3,4,貓,māo,N,cat,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「貓」.,TV (television),younger sister,cat,chair,C,cat,
Q0140,C5-5-3-I4-W047,Vocabulary,5,5-3,4,貓,māo,N,cat,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「貓」 (tone marks or tone numbers are accepted).,,,,,,māo,māo | mao1
Q0141,C5-5-3-I4-W047,Vocabulary,5,5-3,4,貓,māo,N,cat,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我家有一隻____、兩隻狗和三隻鳥。,鳥,貓,電視機,狗,B,貓,貓
Q0142,C5-5-3-I4-W048,Vocabulary,5,5-3,4,狗,gǒu,N,dog,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「狗」.,dog,room,door,above; over; on top of; on the surface of,A,dog,
Q0143,C5-5-3-I4-W048,Vocabulary,5,5-3,4,狗,gǒu,N,dog,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「狗」 (tone marks or tone numbers are accepted).,,,,,,gǒu,gǒu | gou3
Q0144,C5-5-3-I4-W048,Vocabulary,5,5-3,4,狗,gǒu,N,dog,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我家有一隻貓、兩隻____和三隻鳥。,貓,窗戶,鳥,狗,D,狗,狗
Q0145,C5-5-3-I4-W049,Vocabulary,5,5-3,4,鳥,niǎo,N,bird,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「鳥」.,elder sister,bird,here,dog,B,bird,
Q0146,C5-5-3-I4-W049,Vocabulary,5,5-3,4,鳥,niǎo,N,bird,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「鳥」 (tone marks or tone numbers are accepted).,,,,,,niǎo,niǎo | niao3
Q0147,C5-5-3-I4-W049,Vocabulary,5,5-3,4,鳥,niǎo,N,bird,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我家有一隻貓、兩隻狗和三隻____。,貓,門,鳥,狗,C,鳥,鳥
Q0148,C5-5-3-I4-W050,Vocabulary,5,5-3,4,隻,zhī,M,measure word for animals,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「隻」.,measure word for buildings,the front; the front side; ahead; in front,measure word for tables and chairs,measure word for animals,D,measure word for animals,
Q0149,C5-5-3-I4-W050,Vocabulary,5,5-3,4,隻,zhī,M,measure word for animals,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「隻」 (tone marks or tone numbers are accepted).,,,,,,zhī,zhī | zhi1
Q0150,C5-5-3-I4-W050,Vocabulary,5,5-3,4,隻,zhī,M,measure word for animals,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我家有一____貓、兩隻狗和三隻鳥。,棟,隻,張,鳥,B,隻,隻
Q0151,C6-6-1-I1-W051,Vocabulary,6,6-1,1,打,dǎ,V,to hit; to beat; to play (ball games),Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「打」.,to learn; to study,to ride,to say; to speak; to talk,to hit; to beat; to play (ball games),D,to hit; to beat; to play (ball games),
Q0152,C6-6-1-I1-W051,Vocabulary,6,6-1,1,打,dǎ,V,to hit; to beat; to play (ball games),Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「打」 (tone marks or tone numbers are accepted).,,,,,,dǎ,dǎ | da3
Q0153,C6-6-1-I1-W051,Vocabulary,6,6-1,1,打,dǎ,V,to hit; to beat; to play (ball games),Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我跟同學常常一起在學校____網球。,踢,打,騎,說,B,打,打
Q0154,C6-6-1-I2-W052,Vocabulary,6,6-1,2,網球,wǎngqiú,N,tennis,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「網球」.,bicycle; bike,tennis,ball,seaside; beach,B,tennis,
Q0155,C6-6-1-I2-W052,Vocabulary,6,6-1,2,網球,wǎngqiú,N,tennis,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「網球」 (tone marks or tone numbers are accepted).,,,,,,wǎngqiú,wǎngqiú | wang3qiu2 | wang3 qiu2
Q0156,C6-6-1-I2-W052,Vocabulary,6,6-1,2,網球,wǎngqiú,N,tennis,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我跟同學常常一起在學校打____。,網球,海邊,海,風景,A,網球,網球
Q0157,C6-6-1-I2-W053,Vocabulary,6,6-1,2,球,qiú,N,ball,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「球」.,competition; race; game,ball,tennis,scenery; landscapes,B,ball,
Q0158,C6-6-1-I2-W053,Vocabulary,6,6-1,2,球,qiú,N,ball,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「球」 (tone marks or tone numbers are accepted).,,,,,,qiú,qiú | qiu2
Q0159,C6-6-1-I2-W053,Vocabulary,6,6-1,2,球,qiú,N,ball,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這是一個____。,山,棒球,球,風景,C,球,球
Q0160,C6-6-1-I2-W054,Vocabulary,6,6-1,2,籃球,lánqiú,N,basketball,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「籃球」.,tennis,movie theater; cinema,seaside; beach,basketball,D,basketball,
Q0161,C6-6-1-I2-W054,Vocabulary,6,6-1,2,籃球,lánqiú,N,basketball,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「籃球」 (tone marks or tone numbers are accepted).,,,,,,lánqiú,lánqiú | lan2qiu2 | lan2 qiu2
Q0162,C6-6-1-I2-W054,Vocabulary,6,6-1,2,籃球,lánqiú,N,basketball,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我每個週末去學校打____。,風景,籃球,網球,海,B,籃球,籃球
Q0163,C6-6-1-I2-W055,Vocabulary,6,6-1,2,棒球,bàngqiú,N,baseball,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「棒球」.,baseball,football; soccer,bicycle; bike,movie theater; cinema,A,baseball,
Q0164,C6-6-1-I2-W055,Vocabulary,6,6-1,2,棒球,bàngqiú,N,baseball,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「棒球」 (tone marks or tone numbers are accepted).,,,,,,bàngqiú,bàngqiú | bang4qiu2 | bang4 qiu2
Q0165,C6-6-1-I2-W055,Vocabulary,6,6-1,2,棒球,bàngqiú,N,baseball,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我弟弟喜歡打____，我想送他一個棒球。,棒球,風景,山,網球,A,棒球,棒球
Q0166,C6-6-1-I2-W056,Vocabulary,6,6-1,2,足球,zúqiú,N,football; soccer,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「足球」.,movie theater; cinema,football; soccer,the day after tomorrow,interest; hobby,B,football; soccer,
Q0167,C6-6-1-I2-W056,Vocabulary,6,6-1,2,足球,zúqiú,N,football; soccer,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「足球」 (tone marks or tone numbers are accepted).,,,,,,zúqiú,zúqiú | zu2qiu2 | zu2 qiu2
Q0168,C6-6-1-I2-W056,Vocabulary,6,6-1,2,足球,zúqiú,N,football; soccer,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 那個孩子很愛踢____。,海,山,球,足球,D,足球,足球
Q0169,C6-6-1-I2-W057,Vocabulary,6,6-1,2,踢,tī,V,to kick,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「踢」.,to ride,to say; to speak; to talk,to learn; to study,to kick,D,to kick,
Q0170,C6-6-1-I2-W057,Vocabulary,6,6-1,2,踢,tī,V,to kick,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「踢」 (tone marks or tone numbers are accepted).,,,,,,tī,tī | ti1
Q0171,C6-6-1-I2-W057,Vocabulary,6,6-1,2,踢,tī,V,to kick,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 那個孩子很愛____足球。,說,打,騎,踢,D,踢,踢
Q0172,C6-6-1-I3-W058,Vocabulary,6,6-1,3,海邊,hǎibiān,N,seaside; beach,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「海邊」.,the day after tomorrow,movie theater; cinema,seaside; beach,cell phone,C,seaside; beach,
Q0173,C6-6-1-I3-W058,Vocabulary,6,6-1,3,海邊,hǎibiān,N,seaside; beach,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「海邊」 (tone marks or tone numbers are accepted).,,,,,,hǎibiān,hǎibiān | hai3bian1 | hai3 bian1
Q0174,C6-6-1-I3-W058,Vocabulary,6,6-1,3,海邊,hǎibiān,N,seaside; beach,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 今天天氣不錯，我們去____曬太陽吧。,海,海邊,棒球,網球,B,海邊,海邊
Q0175,C6-6-1-I3-W059,Vocabulary,6,6-1,3,海,hǎi,N,ocean; sea,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「海」.,tennis,mountain,ocean; sea,competition; race; game,C,ocean; sea,
Q0176,C6-6-1-I3-W059,Vocabulary,6,6-1,3,海,hǎi,N,ocean; sea,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「海」 (tone marks or tone numbers are accepted).,,,,,,hǎi,hǎi | hai3
Q0177,C6-6-1-I3-W059,Vocabulary,6,6-1,3,海,hǎi,N,ocean; sea,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 這個週末我們一起去看____，怎麼樣？,海邊,海,風景,足球,B,海,海
Q0178,C6-6-1-I3-W060,Vocabulary,6,6-1,3,山,shān,N,mountain,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「山」.,football; soccer,painting,mountain,ball,C,mountain,
Q0179,C6-6-1-I3-W060,Vocabulary,6,6-1,3,山,shān,N,mountain,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「山」 (tone marks or tone numbers are accepted).,,,,,,shān,shān | shan1
Q0180,C6-6-1-I3-W060,Vocabulary,6,6-1,3,山,shān,N,mountain,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 你喜歡____上的風景還是海邊的風景？,風景,籃球,網球,山,D,山,山
Q0181,C6-6-1-I4-W061,Vocabulary,6,6-1,4,風景,fēngjǐng,N,scenery; landscapes,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「風景」.,scenery; landscapes,several; a few,basketball,competition; race; game,A,scenery; landscapes,
Q0182,C6-6-1-I4-W061,Vocabulary,6,6-1,4,風景,fēngjǐng,N,scenery; landscapes,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「風景」 (tone marks or tone numbers are accepted).,,,,,,fēngjǐng,fēngjǐng | feng1jing3 | feng1 jing3
Q0183,C6-6-1-I4-W061,Vocabulary,6,6-1,4,風景,fēngjǐng,N,scenery; landscapes,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 你喜歡山上的____還是海邊的風景？,山,風景,棒球,網球,B,風景,風景
Q0184,C6-6-1-I5-W062,Vocabulary,6,6-1,5,游泳,yóuyǒng,V-sep,to swim,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「游泳」.,to talk; to speak,to swim,to sing (a song),to use/surf the internet,B,to swim,
Q0185,C6-6-1-I5-W062,Vocabulary,6,6-1,5,游泳,yóuyǒng,V-sep,to swim,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「游泳」 (tone marks or tone numbers are accepted).,,,,,,yóuyǒng,yóuyǒng | you2yong3 | you2 yong3
Q0186,C6-6-1-I5-W062,Vocabulary,6,6-1,5,游泳,yóuyǒng,V-sep,to swim,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 天氣好熱，我們去____，好不好？,上網,唱歌,說話,游泳,D,游泳,游泳
Q0187,C6-6-1-I6-W063,Vocabulary,6,6-1,6,會,huì,Vaux,to be able to; can,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「會」.,can; could (suggestion),baseball,to be able to; can,should; ought to,C,to be able to; can,
Q0188,C6-6-1-I6-W063,Vocabulary,6,6-1,6,會,huì,Vaux,to be able to; can,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「會」 (tone marks or tone numbers are accepted).,,,,,,huì,huì | hui4
Q0189,C6-6-1-I6-W063,Vocabulary,6,6-1,6,會,huì,Vaux,to be able to; can,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我不____游泳，你會嗎？,應該,會,可以,有的時候,B,會,會
Q0190,C6-6-1-I7-W064,Vocabulary,6,6-1,7,得,de,Ptc,complement marker,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「得」.,Don't... (used in imperatives),sometimes,to ride,complement marker,D,complement marker,
Q0191,C6-6-1-I7-W064,Vocabulary,6,6-1,7,得,de,Ptc,complement marker,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「得」 (tone marks or tone numbers are accepted).,,,,,,de,de
Q0192,C6-6-1-I7-W064,Vocabulary,6,6-1,7,得,de,Ptc,complement marker,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 今天我去朋友家玩____很開心。,踢,比賽,得,歌,C,得,得
Q0193,C6-6-1-I8-W065,Vocabulary,6,6-1,8,跑步,pǎobù,Vi,to run,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「跑步」.,mountain,to exercise,to run,to take a rest,C,to run,
Q0194,C6-6-1-I8-W065,Vocabulary,6,6-1,8,跑步,pǎobù,Vi,to run,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「跑步」 (tone marks or tone numbers are accepted).,,,,,,pǎobù,pǎobù | pao3bu4 | pao3 bu4
Q0195,C6-6-1-I8-W065,Vocabulary,6,6-1,8,跑步,pǎobù,Vi,to run,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我每個星期都去學校____。,運動,休息,跑,跑步,D,跑步,跑步
Q0196,C6-6-1-I9-W066,Vocabulary,6,6-1,9,跑,pǎo,Vi,to run,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「跑」.,slow; slowly,to run,to exercise,to take a rest,B,to run,
Q0197,C6-6-1-I9-W066,Vocabulary,6,6-1,9,跑,pǎo,Vi,to run,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「跑」 (tone marks or tone numbers are accepted).,,,,,,pǎo,pǎo | pao3
Q0198,C6-6-1-I9-W066,Vocabulary,6,6-1,9,跑,pǎo,Vi,to run,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我妹妹____得很慢。,跑步,運動,跑,休息,C,跑,跑
Q0199,C6-6-1-I10-W067,Vocabulary,6,6-1,10,慢,màn,Vs,slow; slowly,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「慢」.,fast; quick,interesting,slow; slowly,happy,C,slow; slowly,
Q0200,C6-6-1-I10-W067,Vocabulary,6,6-1,10,慢,màn,Vs,slow; slowly,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「慢」 (tone marks or tone numbers are accepted).,,,,,,màn,màn | man4
Q0201,C6-6-1-I10-W067,Vocabulary,6,6-1,10,慢,màn,Vs,slow; slowly,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我妹妹跑得很____。,高興,慢,快,有趣,B,慢,慢
Q0202,C6-6-1-I10-W068,Vocabulary,6,6-1,10,快,kuài,Vs,fast; quick,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「快」.,happy,fast; quick,interesting,slow; slowly,B,fast; quick,
Q0203,C6-6-1-I10-W068,Vocabulary,6,6-1,10,快,kuài,Vs,fast; quick,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「快」 (tone marks or tone numbers are accepted).,,,,,,kuài,kuài | kuai4
Q0204,C6-6-1-I10-W068,Vocabulary,6,6-1,10,快,kuài,Vs,fast; quick,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 她看書看得很____。,有趣,慢,高興,快,D,快,快
Q0205,C6-6-1-I11-W069,Vocabulary,6,6-1,11,說,shuō,V,to say; to speak; to talk,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「說」.,to say; to speak; to talk,to ride,to learn; to study,to kick,A,to say; to speak; to talk,
Q0206,C6-6-1-I11-W069,Vocabulary,6,6-1,11,說,shuō,V,to say; to speak; to talk,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「說」 (tone marks or tone numbers are accepted).,,,,,,shuō,shuō | shuo1
Q0207,C6-6-1-I11-W069,Vocabulary,6,6-1,11,說,shuō,V,to say; to speak; to talk,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我朋友____這家餐廳的咖啡很好喝。,說,踢,騎,打,A,說,說
Q0208,C6-6-1-I11-W070,Vocabulary,6,6-1,11,說話,shuōhuà,V-sep,to talk; to speak,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「說話」.,to use/surf the internet,to swim,to sing (a song),to talk; to speak,D,to talk; to speak,
Q0209,C6-6-1-I11-W070,Vocabulary,6,6-1,11,說話,shuōhuà,V-sep,to talk; to speak,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「說話」 (tone marks or tone numbers are accepted).,,,,,,shuōhuà,shuōhuà | shuo1hua4 | shuo1 hua4
Q0210,C6-6-1-I11-W070,Vocabulary,6,6-1,11,說話,shuōhuà,V-sep,to talk; to speak,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我男朋友不太喜歡____。,跳舞,說話,游泳,唱歌,B,說話,說話
Q0211,C6-6-2-I1-W071,Vocabulary,6,6-2,1,電影,diànyǐng,N,movie,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「電影」.,computer,song,movie,several; a few,C,movie,
Q0212,C6-6-2-I1-W071,Vocabulary,6,6-2,1,電影,diànyǐng,N,movie,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「電影」 (tone marks or tone numbers are accepted).,,,,,,diànyǐng,diànyǐng | dian4ying3 | dian4 ying3
Q0213,C6-6-2-I1-W071,Vocabulary,6,6-2,1,電影,diànyǐng,N,movie,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我跟媽媽明天下午要一起去看____。,後天,電腦,電影,電影院,C,電影,電影
Q0214,C6-6-2-I1-W072,Vocabulary,6,6-2,1,部,bù,M,measure word for movies,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「部」.,measure word for vehicles,measure word for cell phone,measure word for movies,measure word for songs,C,measure word for movies,
Q0215,C6-6-2-I1-W072,Vocabulary,6,6-2,1,部,bù,M,measure word for movies,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「部」 (tone marks or tone numbers are accepted).,,,,,,bù,bù | bu4
Q0216,C6-6-2-I1-W072,Vocabulary,6,6-2,1,部,bù,M,measure word for movies,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我覺得這____電影很有趣。,首,支,部,輛,C,部,部
Q0217,C6-6-2-I1-W073,Vocabulary,6,6-2,1,電影院,diànyǐngyuàn,N,movie theater; cinema,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「電影院」.,several; a few,movie theater; cinema,painting,baseball,B,movie theater; cinema,
Q0218,C6-6-2-I1-W073,Vocabulary,6,6-2,1,電影院,diànyǐngyuàn,N,movie theater; cinema,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「電影院」 (tone marks or tone numbers are accepted).,,,,,,diànyǐngyuàn,diànyǐngyuàn | dian4ying3yuan4 | dian4 ying3 yuan4
Q0219,C6-6-2-I1-W073,Vocabulary,6,6-2,1,電影院,diànyǐngyuàn,N,movie theater; cinema,Round 3,context_cloze_mcq,click,Choose the correct word to fill in the blank: 我們學校旁邊有一家____。,腳踏車,電腦,電影院,電影,C,電影院,電影院
Q0220,C6-6-2-I2-W074,Vocabulary,6,6-2,2,有趣,yǒuqù,Vs,interesting,Round 1,basic_meaning_mcq,click,Choose the correct English meaning of 「有趣」.,interesting,slow; slowly,fast; quick,happy,A,interesting,
Q0221,C6-6-2-I2-W074,Vocabulary,6,6-2,2,有趣,yǒuqù,Vs,interesting,Round 2,character_to_pinyin_typing,free_text,Type the pinyin for 「有趣」 (tone marks or tone numbers are accepted).,,,,,,yǒuqù,yǒuqù | you3qu4 | you3 qu4
