我們去喝下午茶 | cloze | ____是你的朋友。 → 我 | pool: 他 / 去 / 哪裡 / 喝 / 在 / 她 / 家 / 有空 / 知道
我們去喝下午茶 | reverse | you → 你 | pool: 下午 / 下午茶 / 做 / 儒 / 兩點半 / 冰淇淋 / 去 / 咖啡廳 / 啊 / 喝 / 在 / 好吃 / 好啊 / 它 / 家 / 巧克力 / 很多 / 忍 / 想 / 我 / 星期六 / 有 / 有空 / 知道 / 禰 / 種 / 聽音樂 / 要 / 週末
我們去喝下午茶 | synonym | 一起 → 共同 | pool: 分開 / 單獨 / 孤獨
我們去喝下午茶 | synonym | 下午 → 午後 | pool: 凌晨 / 早晨 / 晚上
我們去喝下午茶 | synonym | 下午茶 → 茶會 | pool: 午餐 / 早餐 / 晚餐
我們去喝下午茶 | synonym | 他們 → 它們 | pool: 你們 / 我 / 我們
我們去喝下午茶 | synonym | 你 → 您 | pool: 他 / 她 / 我
我們去喝下午茶 | synonym | 做 → 幹 | pool: 吃 / 喝 / 玩
我們去喝下午茶 | synonym | 兩點半 → 下午2:30 | pool: 中午12:00 / 早上8:00 / 晚上8:00
我們去喝下午茶 | synonym | 冰淇淋 → 雪糕 | pool: 冰棒 / 冰沙 / 冰茶
我們去喝下午茶 | synonym | 去 → 前往 | pool: 來 / 回 / 留
我們去喝下午茶 | synonym | 友美 → 名字 | pool: 同事 / 家人 / 朋友
我們去喝下午茶 | synonym | 咖啡廳 → 咖啡店 | pool: 書店 / 酒店 / 餐廳
我們去喝下午茶 | synonym | 哪裡 → 什麼地方 | pool: 什麼 / 什麼時候 / 誰
我們去喝下午茶 | synonym | 啊 → 哦 | pool: 呃 / 嗨 / 嗯
我們去喝下午茶 | synonym | 喝 → 飲 | pool: 吃 / 吐 / 拉
我們去喝下午茶 | synonym | 在 → 於 | pool: 來 / 去 / 回
我們去喝下午茶 | synonym | 好吃 → 美味 | pool: 不健康 / 不新鮮 / 難吃
我們去喝下午茶 | synonym | 好啊 → 同意 | pool: 不同意 / 不清楚 / 不知道
我們去喝下午茶 | synonym | 家 → 屋 | pool: 公司 / 公園 / 學校
我們去喝下午茶 | synonym | 巧克力 → 朱古力 | pool: 糖果 / 蛋糕 / 餅乾
我們去喝下午茶 | synonym | 很多 → 許多 | pool: 不多 / 很少 / 沒有
我們去喝下午茶 | synonym | 想 → 想要 | pool: 不想 / 不知道 / 知道
我們去喝下午茶 | synonym | 我 → 自己 | pool: 他 / 你 / 她
我們去喝下午茶 | synonym | 星期六 → 六日 | pool: 星期一 / 星期五 / 星期日
我們去喝下午茶 | synonym | 有 → 具有 | pool: 不夠 / 沒有 / 缺少
我們去喝下午茶 | synonym | 有空 → 有時間 | pool: 有朋友 / 有車 / 有錢
我們去喝下午茶 | synonym | 看書 → 閱讀 | pool: 寫作 / 畫畫 / 音樂
我們去喝下午茶 | synonym | 知道 → 曉得 | pool: 不明白 / 不清楚 / 不知道
我們去喝下午茶 | synonym | 種 → 類別 | pool: 大小 / 數量 / 顏色
我們去喝下午茶 | synonym | 聽音樂 → 收聽 | pool: 玩遊戲 / 看電影 / 聊天
我們去喝下午茶 | synonym | 要 → 需要 | pool: 吃 / 喝 / 買
我們去喝下午茶 | synonym | 週末 → 假期 | pool: 休息 / 工作日 / 星期一
我們去喝下午茶 | translation | 一起 → together | pool: I / Saturday / afternoon tea / alone / apart / at / cafe / chocolate / delicious / drink / have / have time / ice cream / in line / in order / in sequence / individually / kind / many / okay / separately / singly / they / to do / to go / to listen to music / to read / to want / two thirty / where / would like to / you
我們去喝下午茶 | translation | 下午 → afternoon | pool: I / Saturday / ah / at / cafe / chocolate / daytime / delicious / drink / dusk / evening / friend's name / have / have time / home / ice cream / know / many / morning / night / noontime / okay / sunset / they / to do / to go / to listen to music / to want / together / twilight / two thirty / weekend / where / you
我們去喝下午茶 | translation | 下午茶 → afternoon tea | pool: I / afternoon / ah / at / chocolate / evening snack / evening tea / friend's name / have / have time / home / ice cream / kind / know / many / midday snack / midnight meal / midnight snack / morning coffee / okay / supper / they / to do / to go / to read / to want / together / two thirty / weekend / where / would like to / you
我們去喝下午茶 | translation | 他們 → they | pool: I / Saturday / afternoon / ah / at / cafe / chocolate / delicious / drink / folks / friend's name / have / have time / home / ice cream / know / many / okay / our / ours / people / to do / to listen to music / to want / together / two thirty / us / we / weekend / where / you
我們去喝下午茶 | translation | 你 → you | pool: I / Saturday / a person / afternoon / afternoon tea / anyone / at / cafe / chocolate / delicious / drink / friend's name / have / have time / he / home / ice cream / it / know / okay / one / she / someone / they / to do / to go / to read / to want / together / weekend / where
我們去喝下午茶 | translation | 做 → to do | pool: I / afternoon / afternoon tea / ah / at / cafe / delicious / drink / friend's name / have time / home / ice cream / kind / know / many / okay / they / to achieve / to act / to create / to exercise / to listen to music / to perform / to practice / to prepare / to read / two thirty / weekend / where / would like to / you
我們去喝下午茶 | translation | 兩點半 → two thirty | pool: I / Saturday / afternoon / afternoon tea / ah / at / cafe / delicious / drink / four o'clock / four thirty / half past one / have / have time / home / ice cream / kind / know / many / okay / one thirty / quarter to three / they / three fifteen / three thirty / to do / to go / to listen to music / to read / to want / together / weekend / where / would like to / you
我們去喝下午茶 | translation | 冰淇淋 → ice cream | pool: I / Saturday / afternoon / afternoon tea / at / cafe / chocolate / cold treat / delicious / drink / friend's name / frozen yogurt / have / home / kind / know / many / okay / sorbet / they / to do / to go / to listen to music / to read / to want / together / two thirty / weekend / where / would like to / you
我們去喝下午茶 | translation | 去 → to go | pool: I / afternoon / afternoon tea / cafe / chocolate / drink / have / have time / home / ice cream / kind / know / many / okay / they / to advance / to come / to do / to move forward / to proceed / to remain / to return / to stay / to stop / to want / together / weekend / where / would like to
我們去喝下午茶 | translation | 友美 → friend's name | pool: I / afternoon / afternoon tea / at / beautiful friend / best buddy / cafe / chocolate / close friend / delicious / drink / friendship / friendship name / good friend / have / ice cream / kind / know / lovely friend / many / okay / pen pal / they / to do / to listen to music / to want / together / two thirty / weekend / where / would like to / you
我們去喝下午茶 | translation | 咖啡廳 → cafe | pool: I / Saturday / afternoon tea / ah / bistro / bookstore / chocolate / delicious / drink / friend's name / have / have time / ice cream / kind / know / library / many / museum / tea house / to do / to go / to listen to music / to read / together / two thirty / weekend / where / would like to / you
我們去喝下午茶 | translation | 哪裡 → where | pool: I / afternoon / afternoon tea / ah / anywhere / at / cafe / chocolate / friend's name / have / have time / how / ice cream / kind / many / nowhere / okay / somewhere / they / to do / to go / to read / to want / together / two thirty / weekend / what / when / why / would like to / you
我們去喝下午茶 | translation | 啊 → ah | pool: Saturday / afternoon tea / at / cafe / chocolate / delicious / drink / friend's name / have / have time / home / ice cream / kind / know / maybe / oh / oh dear / oh me / oh no / okay / oops / ouch / they / to do / to go / to listen to music / to read / to want / two thirty / weekend / where / would like to / yes
我們去喝下午茶 | translation | 喝 → drink | pool: I / Saturday / afternoon / afternoon tea / ah / at / cafe / friend's name / have / have time / home / know / many / okay / they / to do / to eat / to go / to listen to music / to read / to smell / to touch / to want / together / weekend / where / would like to / you
我們去喝下午茶 | translation | 在 → at | pool: I / Saturday / across / afternoon / afternoon tea / ah / beside / cafe / chocolate / delicious / drink / during / friend's name / from / have / have time / home / ice cream / kind / know / many / okay / on / to do / to go / to listen to music / to read / to want / together / two thirty / under / where / with / within / would like to / you
我們去喝下午茶 | translation | 好吃 → delicious | pool: Saturday / afternoon / afternoon tea / ah / at / bad taste / bitter / cafe / chocolate / drink / fine cuisine / friend's name / have / have time / home / know / many / okay / sour / tasty food / they / to do / to go / to listen to music / to read / to want / two thirty / weekend / where / would like to
我們去喝下午茶 | translation | 好啊 → okay | pool: I / Saturday / afternoon tea / ah / at / awful / bad / cafe / chocolate / delicious / drink / fair / friend's name / have / have time / home / ice cream / kind / know / many / so so / terrible / they / to do / to listen to music / to read / to want / together / two thirty / weekend / well done / where / you
我們去喝下午茶 | translation | 家 → home | pool: I / Saturday / afternoon / ah / at / cafe / chocolate / city / delicious / drink / friend's name / have / have time / hut / ice cream / kind / know / office / okay / school / shack / store / they / to go / to listen to music / to read / to want / together / town / two thirty / village / weekend / where / you
我們去喝下午茶 | translation | 巧克力 → chocolate | pool: Saturday / afternoon / ah / at / brown sugar / cafe / cocoa / cocoa powder / coffee / delicious / drink / friend's name / have / have time / home / ice cream / lemon / many / mocha / okay / strawberry / they / to do / to go / to listen to music / to read / to want / two thirty / vanilla / weekend / would like to / you
我們去喝下午茶 | translation | 很多 → many | pool: I / Saturday / a few / afternoon tea / ah / at / cafe / chocolate / delicious / friend's name / have / have time / home / ice cream / know / little / none / okay / they / to listen to music / to read / to want / two thirty / weekend / where / you
我們去喝下午茶 | translation | 想 → would like to | pool: I / Saturday / ah / at / delicious / friend's name / have / have time / home / ice cream / many / okay / they / to do / to dream / to forget / to ignore / to listen to music / to read / to recall / to recollect / to remember / to want / together / two thirty / where / you
我們去喝下午茶 | translation | 我 → I | pool: Saturday / afternoon / afternoon tea / ah / at / cafe / delicious / drink / friend's name / have / have time / home / ice cream / kind / know / okay / ours / they / to do / to go / to read / to want / two thirty / us / we / weekend / where / would like to / you / yours
我們去喝下午茶 | translation | 星期六 → Saturday | pool: Friday / I / Monday / Sunday / Tuesday / Wednesday / afternoon tea / ah / at / cafe / chocolate / day off / delicious / drink / have / have time / home / ice cream / kind / know / many / off-day / okay / they / to do / to go / to listen to music / to read / together / weekdays / weekend / where / would like to / you
我們去喝下午茶 | translation | 有 → have | pool: I / Saturday / afternoon / afternoon tea / ah / at / cafe / delicious / have time / ice cream / know / lacking / none / nothing / to do / to go / to listen to music / to read / together / two thirty / weekend / where / you
我們去喝下午茶 | translation | 有空 → have time | pool: I / afternoon / afternoon tea / ah / at / cafe / chocolate / delicious / drink / home / ice cream / kind / to be bored / to be busy / to be idle / to be lazy / to be tired / to be unemployed / to listen to music / to read / to want / two thirty / weekend / you
我們去喝下午茶 | translation | 看書 → to read | pool: Saturday / afternoon / afternoon tea / ah / at / cafe / chocolate / delicious / drink / friend's name / have time / ice cream / kind / know / many / they / to browse / to glance / to listen / to scan / to skim / to study / to want / to watch / to write / together / weekend / where / you
我們去喝下午茶 | translation | 知道 → know | pool: I / Saturday / afternoon / ah / at / cafe / chocolate / delicious / friend's name / have / have time / home / ice cream / many / they / to acknowledge / to discover / to do / to forget / to go / to ignore / to learn / to misunderstand / to read / to want / together / two thirty / weekend / would like to / you
我們去喝下午茶 | translation | 種 → kind | pool: I / afternoon / afternoon tea / ah / brand / cafe / chocolate / drink / friend's name / have / have time / home / ice cream / know / many / model / they / to do / to go / to listen to music / to read / to want / together / two thirty / where / you
我們去喝下午茶 | translation | 聽音樂 → to listen to music | pool: Saturday / afternoon / ah / at / cafe / delicious / drink / friend's name / have / have time / ice cream / kind / know / many / they / to attend concert / to compose music / to compose song / to dance / to do / to go / to play instrument / to play music / to read / to sing / to want / together / weekend / where / would like to / you
我們去喝下午茶 | translation | 要 → to want | pool: I / Saturday / afternoon / afternoon tea / at / cafe / chocolate / delicious / drink / have / home / ice cream / kind / know / many / okay / they / to do / to expect / to go / to hope / to intend / to listen to music / to love / to plan / to read / to wish / together / two thirty / you
我們去喝下午茶 | translation | 週末 → weekend | pool: I / Saturday / afternoon / ah / break time / cafe / chocolate / drink / friend's name / have / have time / holiday / holidays / kind / long weekend / many / okay / short break / summer holiday / they / to do / to go / to read / to want / two thirty / vacation / weekdays / you
我們去士林夜市 | cloze | ____我要去看電視。 → 晚上 | pool: 下午 / 中午 / 早上
我們去士林夜市 | cloze | ____我要去逛街。 → 星期六 | pool: 星期一 / 星期三 / 星期五
我們去士林夜市 | cloze | ____是我的朋友，他很友善。 → 志豪 | pool: 佳玲 / 李小 / 王大
我們去士林夜市 | cloze | ____是我的朋友，她很好。 → 佳玲 | pool: 志豪 / 李美 / 王小
我們去士林夜市 | cloze | ____是朋友，很好。 → 我們 | pool: 他們 / 你們 / 她們
我們去士林夜市 | cloze | ____，我很高興。 → 太好了 | pool: 不好 / 不高興 / 很壞
我們去士林夜市 | cloze | 我____有課，所以不能去玩。 → 星期五 | pool: 星期三 / 星期二 / 星期日
我們去士林夜市 | cloze | 我____錢，可以買東西。 → 有 | pool: 不夠 / 沒有 / 沒有錢
我們去士林夜市 | cloze | 我____，謝謝你的關心。 → 沒事 | pool: 受傷 / 有事 / 生病
我們去士林夜市 | cloze | 我們____去公園玩。 → 一起 | pool: 分開 / 各自 / 單獨
我們去士林夜市 | cloze | 我們____散步，享受新鮮空氣。 → 出去 | pool: 回家 / 留下 / 進來
我們去士林夜市 | cloze | 我們____要去看電影。 → 六點 | pool: 七點 / 九點 / 八點
我們去士林夜市 | cloze | 我們六點在捷運站____。 → 見 | pool: 走 / 跑 / 跳
我們去士林夜市 | cloze | 我們去____吃小吃。 → 士林夜市 | pool: 臺中夜市 / 臺北夜市 / 高雄夜市
我們去士林夜市 | cloze | 我們在____見面。 → 捷運站 | pool: 巴士站 / 港口 / 火車站
我們去士林夜市 | cloze | 我回____了，很高興。 → 家 | pool: 公司 / 公園 / 學校
我們去士林夜市 | cloze | 我愛吃____，很好吃。 → 雞排 | pool: 牛排 / 豬排 / 魚排
我們去士林夜市 | cloze | 我愛喝____，很好喝。 → 珍珠奶茶 | pool: 咖啡 / 紅茶 / 綠茶
我們去士林夜市 | cloze | 我要____我的作業。 → 做 | pool: 吃 / 喝 / 玩
我們去士林夜市 | cloze | 我要____我的手機，誰看到它了嗎？ → 找 | pool: 借 / 買 / 賣
我們去士林夜市 | cloze | 這個東西很____，我很喜歡。 → 好 | pool: 不好 / 不好吃 / 壞
我們去士林夜市 | cloze | 這個食物很____，我很喜歡。 → 好吃 | pool: 不好吃 / 不好喝 / 不香
我們去士林夜市 | pinyin | 一起 → yīqǐ | pool: chūqù / hǎo / hǎo chī / jiéyùnzhàn / jīpái / liù diǎn / méi shì / nǐ / shìlín yèshì / tài hǎo le / wǎnshàng / wǒmen / xīngqīliù / yiqi1 / yiqi2 / yiqi4 / yǒu / zhēnzhū nǎichá / zuò
我們去士林夜市 | pinyin | 你 → nǐ | pool: hǎo / hǎo chī / jiā / méi shì / nì / ní / nī / yǒu / zhēnzhū nǎichá / zhǎo / zuò
我們去士林夜市 | pinyin | 佳玲 → jiālíng | pool: chūqù / hǎo chī / jialing1 / jialing3 / jialing4 / jiàn / jīpái / liù diǎn / méi shì / shìlín yèshì / wǎnshàng / wǒ / wǒmen / yǒu / zhìháo / zhēnzhū nǎichá / zhǎo
我們去士林夜市 | pinyin | 做 → zuò | pool: hǎo / hǎo chī / jiàn / jiā / jīpái / méi shì / nǐ / tài hǎo le / wǒmen / yīqǐ / yǒu / zhìháo / zhēnzhū nǎichá / zhǎo / zúo / zūo / zǔo
我們去士林夜市 | pinyin | 六點 → liù diǎn | pool: chūqù / jiàn / jiālíng / jīpái / liù diàn / liù dián / liù diān / liú diǎn / liū diǎn / liǔ diǎn / méi shì / nǐ / shìlín yèshì / tài hǎo le / wǎnshàng / wǒ / xīngqīliù / xīngqīwǔ / yīqǐ / yǒu / zhìháo
我們去士林夜市 | pinyin | 出去 → chūqù | pool: chuqu1 / chuqu2 / chuqu3 / hǎo / jiàn / jiéyùnzhàn / jīpái / liù diǎn / nǐ / wǎnshàng / wǒmen / xīngqīwǔ / yǒu / zhìháo
我們去士林夜市 | pinyin | 士林夜市 → shìlín yèshì | pool: chūqù / hǎo / jiā / liù diǎn / méi shì / shilin1 yèshì / shilin3 yèshì / shilin4 yèshì / shìlín yeshi1 / shìlín yeshi2 / shìlín yeshi3 / wǎnshàng / wǒ / wǒmen / xīngqīwǔ / yǒu / zhǎo
我們去士林夜市 | pinyin | 太好了 → tài hǎo le | pool: hǎo / jiéyùnzhàn / méi shì / shìlín yèshì / tài hào le / tài háo le / tài hāo le / tài hǎo lè / tài hǎo lé / tài hǎo lē / tài hǎo lě / tái hǎo le / tāi hǎo le / tǎi hǎo le / wǎnshàng / yīqǐ / zhìháo / zhēnzhū nǎichá / zhǎo
我們去士林夜市 | pinyin | 好 → hǎo | pool: chūqù / hào / háo / hāo / hǎo chī / jiàn / jiéyùnzhàn / jiā / jīpái / méi shì / nǐ / wǎnshàng / wǒ / xīngqīliù / yīqǐ / zhìháo / zhēnzhū nǎichá
我們去士林夜市 | pinyin | 好吃 → hǎo chī | pool: hào chī / háo chī / hāo chī / hǎo chì / hǎo chí / hǎo chǐ / jiàn / jiā / jiālíng / jīpái / méi shì / nǐ / wǒ / wǒmen / xīngqīwǔ / yīqǐ / zhìháo / zhǎo
我們去士林夜市 | pinyin | 家 → jiā | pool: chūqù / hǎo chī / jià / jiá / jiéyùnzhàn / jiālíng / jiǎ / jīpái / méi shì / wǒ / wǒmen / yīqǐ / zhǎo / zuò
我們去士林夜市 | pinyin | 志豪 → zhìháo | pool: hǎo / jiā / jīpái / liù diǎn / méi shì / shìlín yèshì / wǎnshàng / xīngqīliù / yīqǐ / yǒu / zhihao1 / zhihao3 / zhihao4 / zhēnzhū nǎichá / zuò
我們去士林夜市 | pinyin | 我 → wǒ | pool: hǎo chī / jiéyùnzhàn / jīpái / nǐ / wò / wó / wō / wǎnshàng / xīngqīliù / zhǎo
我們去士林夜市 | pinyin | 我們 → wǒmen | pool: chūqù / jiàn / jiéyùnzhàn / jiā / liù diǎn / nǐ / shìlín yèshì / women1 / women2 / women4 / wǒ / xīngqīwǔ / yīqǐ / zhìháo / zhēnzhū nǎichá / zhǎo / zuò
我們去士林夜市 | pinyin | 找 → zhǎo | pool: hǎo chī / jiàn / jiéyùnzhàn / jiā / jiālíng / liù diǎn / méi shì / tài hǎo le / wǒ / xīngqīwǔ / zhào / zháo / zhāo / zuò
我們去士林夜市 | pinyin | 捷運站 → jiéyùnzhàn | pool: chūqù / jieyunzhan1 / jieyunzhan2 / jieyunzhan3 / jīpái / méi shì / nǐ / wǎnshàng / wǒmen / xīngqīwǔ / zhēnzhū nǎichá / zuò
我們去士林夜市 | pinyin | 星期五 → xīngqīwǔ | pool: chūqù / hǎo chī / jiàn / jiéyùnzhàn / jīpái / wǎnshàng / wǒ / xingqiwu1 / xingqiwu2 / xingqiwu4 / yǒu / zhǎo
我們去士林夜市 | pinyin | 星期六 → xīngqīliù | pool: chūqù / hǎo / hǎo chī / jiā / liù diǎn / méi shì / shìlín yèshì / tài hǎo le / wǒ / wǒmen / xingqiliu1 / xingqiliu2 / xingqiliu3 / xīngqīwǔ / zhìháo / zhēnzhū nǎichá / zhǎo / zuò
我們去士林夜市 | pinyin | 晚上 → wǎnshàng | pool: chūqù / jiéyùnzhàn / jīpái / nǐ / tài hǎo le / wanshang1 / wanshang2 / wanshang3 / yīqǐ / yǒu / zhēnzhū nǎichá / zhǎo
我們去士林夜市 | pinyin | 有 → yǒu | pool: chūqù / hǎo / hǎo chī / jiālíng / jīpái / nǐ / shìlín yèshì / tài hǎo le / wǎnshàng / xīngqīwǔ / yòu / yóu / yīqǐ / yōu / zhǎo
我們去士林夜市 | pinyin | 沒事 → méi shì | pool: chūqù / hǎo chī / jiā / jiālíng / liù diǎn / mèi shì / méi shí / méi shī / méi shǐ / mēi shì / měi shì / nǐ / shìlín yèshì / tài hǎo le / xīngqīliù / zhēnzhū nǎichá / zuò
我們去士林夜市 | pinyin | 珍珠奶茶 → zhēnzhū nǎichá | pool: chūqù / hǎo / hǎo chī / jiàn / jiéyùnzhàn / jiālíng / méi shì / nǐ / shìlín yèshì / wǎnshàng / wǒ / wǒmen / xīngqīliù / xīngqīwǔ / zhenzhu2 nǎichá / zhenzhu3 nǎichá / zhenzhu4 nǎichá / zhēnzhū naicha1 / zhēnzhū naicha3 / zhēnzhū naicha4 / zhǎo / zuò
我們去士林夜市 | pinyin | 見 → jiàn | pool: chūqù / jián / jiā / jiān / jiǎn / liù diǎn / nǐ / shìlín yèshì / tài hǎo le / wǎnshàng / wǒ / xīngqīliù / xīngqīwǔ / yīqǐ / zhìháo
我們去士林夜市 | pinyin | 雞排 → jīpái | pool: chūqù / hǎo / hǎo chī / jipai1 / jipai3 / jipai4 / jiā / jiālíng / méi shì / nǐ / shìlín yèshì / tài hǎo le / wǒ / wǒmen / xīngqīliù / xīngqīwǔ / yīqǐ
我們去士林夜市 | pos | 一起 → Adv | pool: Adj / N / V
我們去士林夜市 | pos | 你 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 佳玲 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 做 → V | pool: Adj / Adv / N
我們去士林夜市 | pos | 六點 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 出去 → V | pool: Adj / Adv / N
我們去士林夜市 | pos | 士林夜市 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 太好了 → Adj | pool: Adv / N / V
我們去士林夜市 | pos | 好 → Adj | pool: Adv / N / V
我們去士林夜市 | pos | 好吃 → Adj | pool: Adv / N / V
我們去士林夜市 | pos | 家 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 志豪 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 我 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 找 → V | pool: Adj / Adv / N
我們去士林夜市 | pos | 捷運站 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 星期五 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 星期六 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 晚上 → N | pool: Adj / Adv / V
我們去士林夜市 | pos | 有 → V | pool: Adj / Adv / N
我們去士林夜市 | pos | 沒事 → Adj | pool: Adv / N / V
我們去士林夜市 | pos | 見 → V | pool: Adj / Adv / N
我們去士林夜市 | pos | 雞排 → N | pool: Adj / Adv / V
我們去士林夜市 | reverse | Friday → 星期五 | pool: 一起 / 佳玲 / 做 / 六點 / 出去 / 士林夜市 / 太好了 / 好 / 好吃 / 家 / 志豪 / 我 / 找 / 捷運站 / 星期六 / 晚上 / 有 / 沒事 / 珍珠奶茶 / 雞排
我們去士林夜市 | reverse | I → 我 | pool: 一起 / 佳玲 / 做 / 六點 / 出去 / 吳 / 士林夜市 / 太好了 / 好 / 好吃 / 妳 / 家 / 志豪 / 我們 / 找 / 捷運站 / 星期五 / 星期六 / 晚上 / 有 / 沒事 / 珍珠奶茶 / 見 / 雞排 / 麼
我們去士林夜市 | reverse | Jialing → 佳玲 | pool: 一起 / 你 / 佳人 / 佳美 / 做 / 六點 / 出去 / 士林夜市 / 太好了 / 好吃 / 家 / 志豪 / 我們 / 找 / 捷運站 / 星期五 / 晚上 / 沒事 / 玲瓏 / 珍珠奶茶 / 見 / 雞排
我們去士林夜市 | reverse | MRT station → 捷運站 | pool: 一起 / 佳玲 / 做 / 公車站 / 六點 / 出去 / 士林夜市 / 太好了 / 好 / 好吃 / 家 / 志豪 / 我 / 我們 / 找 / 星期五 / 星期六 / 晚上 / 有 / 汽車站 / 沒事 / 火車站 / 珍珠奶茶 / 見 / 雞排
我們去士林夜市 | reverse | Saturday → 星期六 | pool: 一起 / 你 / 佳玲 / 做 / 六點 / 出去 / 士林夜市 / 太好了 / 好 / 家 / 志豪 / 我 / 我們 / 找 / 捷運站 / 星期五 / 星期日 / 晚上 / 沒事 / 珍珠奶茶 / 見 / 週六 / 雞排
我們去士林夜市 | reverse | Shilin Night Market → 士林夜市 | pool: 一起 / 你 / 佳玲 / 六點 / 出去 / 士林區 / 士林街 / 夜市小吃 / 太好了 / 好 / 家 / 志豪 / 我們 / 找 / 捷運站 / 星期五 / 星期六 / 晚上 / 有 / 沒事 / 珍珠奶茶 / 雞排
我們去士林夜市 | reverse | Zhihao → 志豪 | pool: 你 / 六點 / 出去 / 太好了 / 好 / 好吃 / 家 / 志強 / 志明 / 我 / 找 / 星期五 / 星期六 / 晚上 / 沒事 / 珍珠奶茶 / 豪情
我們去士林夜市 | reverse | bubble tea → 珍珠奶茶 | pool: 一起 / 你 / 佳玲 / 做 / 六點 / 士林夜市 / 太好了 / 奶茶 / 好 / 好吃 / 家 / 志豪 / 我們 / 找 / 捷運站 / 星期五 / 星期六 / 晚上 / 有 / 沒事 / 珍珠粉 / 綠茶 / 見 / 雞排
我們去士林夜市 | reverse | chicken cutlet → 雞排 | pool: 一起 / 你 / 佳玲 / 做 / 六點 / 出去 / 士林夜市 / 太好了 / 好 / 好吃 / 家 / 志豪 / 我 / 我們 / 找 / 捷運站 / 星期六 / 有 / 沒事 / 牛排 / 珍珠奶茶 / 見 / 豬排 / 鴨排
我們去士林夜市 | reverse | delicious → 好吃 | pool: 一起 / 不好吃 / 做 / 六點 / 吃得 / 士林夜市 / 太好了 / 好 / 家 / 很吃 / 志豪 / 我 / 我們 / 找 / 捷運站 / 星期五 / 星期六 / 晚上 / 有 / 沒事 / 珍珠奶茶 / 見
我們去士林夜市 | reverse | evening → 晚上 | pool: 一起 / 中午 / 你 / 佳玲 / 做 / 六點 / 出去 / 士林夜市 / 夜晚 / 太好了 / 好 / 好吃 / 家 / 志豪 / 我 / 我們 / 找 / 捷運站 / 早上 / 星期六 / 有 / 沒事 / 珍珠奶茶 / 見 / 雞排
我們去士林夜市 | reverse | find → 找 | pool: 一起 / 佳玲 / 做 / 六點 / 出去 / 士林夜市 / 太好了 / 好 / 好吃 / 志豪 / 我 / 我們 / 招 / 捷運站 / 晚上 / 有 / 沒事 / 見 / 訪 / 貢 / 雞排
我們去士林夜市 | reverse | go out → 出去 | pool: 一起 / 你 / 做 / 六點 / 回去 / 士林夜市 / 太好了 / 好 / 好吃 / 家 / 志豪 / 我 / 我們 / 找 / 捷運站 / 星期五 / 星期六 / 有 / 沒事 / 珍珠奶茶 / 進去 / 過去
我們去士林夜市 | reverse | good → 好 | pool: 一起 / 做 / 六點 / 太好了 / 家 / 志豪 / 我 / 我們 / 找 / 捷運站 / 星期六 / 晚上 / 沒事 / 珍珠奶茶 / 號 / 豪 / 雞排 / 顥
我們去士林夜市 | reverse | great → 太好了 | pool: 你 / 做 / 六點 / 出去 / 士林夜市 / 太壞了 / 好 / 好吃 / 好極了 / 家 / 很好 / 我 / 我們 / 找 / 捷運站 / 星期五 / 晚上 / 有 / 沒事 / 珍珠奶茶 / 見 / 雞排
我們去士林夜市 | reverse | have → 有 | pool: 你 / 佳玲 / 做 / 出去 / 又 / 友 / 太好了 / 好 / 好吃 / 家 / 志豪 / 我 / 我們 / 找 / 捷運站 / 星期五 / 星期六 / 晚上 / 無 / 珍珠奶茶
我們去士林夜市 | reverse | home → 家 | pool: 你 / 做 / 六點 / 嘉 / 太好了 / 好 / 好吃 / 嫁 / 志豪 / 我 / 我們 / 找 / 捷運站 / 星期五 / 星期六 / 有 / 架 / 沒事 / 見 / 雞排
我們去士林夜市 | reverse | nothing wrong → 沒事 | pool: 一起 / 事情 / 你 / 佳玲 / 做 / 六點 / 士林夜市 / 大事 / 太好了 / 好 / 好吃 / 小事 / 志豪 / 我 / 我們 / 捷運站 / 星期五 / 星期六 / 晚上 / 珍珠奶茶 / 見 / 雞排
我們去士林夜市 | reverse | see → 見 | pool: 一起 / 你 / 佳玲 / 做 / 六點 / 出去 / 士林夜市 / 太好了 / 好吃 / 家 / 志豪 / 我 / 我們 / 找 / 捷運站 / 星期五 / 星期六 / 晚上 / 有 / 珍珠奶茶 / 現 / 視 / 覽 / 雞排
我們去士林夜市 | reverse | six o'clock → 六點 | pool: 一起 / 做 / 六日 / 六時 / 六月 / 出去 / 士林夜市 / 好 / 好吃 / 志豪 / 我 / 我們 / 星期五 / 星期六 / 珍珠奶茶 / 見 / 雞排
我們去士林夜市 | reverse | to do → 做 | pool: 一起 / 你 / 佳玲 / 六點 / 出去 / 士林夜市 / 太好了 / 好 / 家 / 志豪 / 我 / 我們 / 找 / 捷運站 / 措 / 星期五 / 星期六 / 有 / 沒事 / 珍珠奶茶 / 著 / 見 / 造
