cloze | 我們去喝下午茶 (easy) | ____是你的朋友。 → 我 | 他 / 去 / 哪裡 / 喝 / 在 / 她 / 家 / 有空 / 知道
pos | 捷運站在哪裡？ (easy) | 捷運 → N | Adj / Particle / Phrase
pos | 捷運站在哪裡？ (easy) | 捷運站 → N | Other / Particle / Phrase / V
pos | 捷運站在哪裡？ (easy) | 站在 → V | Adj / Adv / N / Other / Particle / Phrase
pos | 捷運站在哪裡？ (easy) | 請問 → Phrase | Adj / Adv / Other / Particle / V
pos | 捷運站在哪裡？ (easy) | 謝謝 → Other | Adj / N / Particle / Phrase / V
pos | 捷運站在哪裡？ (easy) | 走 → V | Adj / Adv / N / Particle / Phrase
pos | 捷運站在哪裡？ (easy) | 遠 → Adj | Adv / N / Particle / Phrase / V
pos | 捷運站在哪裡？ (easy) | 那裡 → Adv | Adj / N / Other / Particle / Phrase
pos | 捷運站在哪裡？ (easy) | 高興 → Adj | Adv / N / Other / Particle / Phrase / V
pos | 捷運站在哪裡？ (hard) | 一直 → Adv | Adj / MW / N / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 不好意思 → Phrase | Adj / Adv / MW / N / V
pos | 捷運站在哪裡？ (hard) | 五分鐘 → MW | Adj / Adv / N / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 今天 → N | Adj / Adv / MW / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 加油 → Other | Adj / Adv / MW / N / Phrase / V
pos | 捷運站在哪裡？ (hard) | 十分鐘 → MW | Adv / N / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 右轉 → V | Adj / Adv / MW / Other / Phrase
pos | 捷運站在哪裡？ (hard) | 太好了 → Phrase | Adj / Adv / MW / N / V
pos | 捷運站在哪裡？ (hard) | 婉婷 → N | Adj / Adv / MW / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 學校 → N | Adj / Adv / MW / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 巷子 → N | Adj / Adv / MW / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 幾分鐘 → MW | Adj / Adv / N / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 往前走 → V | Adj / N / Other / Phrase
pos | 捷運站在哪裡？ (hard) | 很 → Adv | Adj / MW / N / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 從來 → Adv | Adj / MW / N / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 心裡 → N | Adj / MW / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 承翰 → N | Adj / Adv / MW / Other
pos | 捷運站在哪裡？ (hard) | 捷運站 → N | Adj / MW / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 擔心 → V | Adj / Adv / MW / N / Other / Phrase
pos | 捷運站在哪裡？ (hard) | 紅綠燈 → N | Adj / Adv / MW / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 緊張 → Adj | Adv / MW / N / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 請問 → V | Adj / Adv / MW / N / Other / Phrase
pos | 捷運站在哪裡？ (hard) | 謝謝 → V | Adj / Adv / Other / Phrase
pos | 捷運站在哪裡？ (hard) | 走過 → V | Adj / Adv / MW / N / Other / Phrase
pos | 捷運站在哪裡？ (hard) | 起晚了 → V | Adv / N / Other / Phrase
pos | 捷運站在哪裡？ (hard) | 趕快 → Adv | Adj / MW / N / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 跑步 → V | Adj / Adv / MW / N / Other / Phrase
pos | 捷運站在哪裡？ (hard) | 這條路 → N | Adv / MW / Other / Phrase / V
pos | 捷運站在哪裡？ (hard) | 遲到 → V | Adj / Adv / N / Other / Phrase
pos | 捷運站在哪裡？ (hard) | 開心 → Adj | Adv / MW / N / Other / Phrase / V
pos | 捷運站在哪裡？ (medium) | 上課 → V | Adj / Adv / MW / N / Phrase
pos | 捷運站在哪裡？ (medium) | 不好意思 → Phrase | Adj / Adv / N
pos | 捷運站在哪裡？ (medium) | 不會 → V | Adv / MW / N / Phrase
pos | 捷運站在哪裡？ (medium) | 五分鐘 → N | Adj / Adv / MW / Phrase / V
pos | 捷運站在哪裡？ (medium) | 今天 → N | Adj / Adv / MW / Phrase / V
pos | 捷運站在哪裡？ (medium) | 咖啡店 → N | Adj / Adv / V
pos | 捷運站在哪裡？ (medium) | 多久 → MW | Adj / Adv / N / Phrase / V
pos | 捷運站在哪裡？ (medium) | 大概 → Adv | Adj / MW / N / Phrase / V
pos | 捷運站在哪裡？ (medium) | 婉婷 → N | Adj / Adv / MW / Phrase / V
pos | 捷運站在哪裡？ (medium) | 學校 → N | Adj / Adv / MW / Phrase / V
pos | 捷運站在哪裡？ (medium) | 幫忙 → V | Adj / Adv / MW / N / Phrase
pos | 捷運站在哪裡？ (medium) | 往前 → Adv | MW / N / Phrase / V
pos | 捷運站在哪裡？ (medium) | 很多 → Adj | Adv / MW / N / Phrase / V
pos | 捷運站在哪裡？ (medium) | 心裡 → N | Adj / Adv / MW / Phrase
pos | 捷運站在哪裡？ (medium) | 快 → Adj | Adv / MW / N / Phrase / V
pos | 捷運站在哪裡？ (medium) | 承翰 → N | Adj / Adv / MW / Phrase / V
pos | 捷運站在哪裡？ (medium) | 捷運 → N | Adj / Adv / MW / Phrase / V
pos | 捷運站在哪裡？ (medium) | 捷運站 → N | Adj / Adv / MW / Phrase / V
pos | 捷運站在哪裡？ (medium) | 時間 → N | Adj / Adv / MW / Phrase / V
pos | 捷運站在哪裡？ (medium) | 準時 → Adv | Adj / Phrase / V
pos | 捷運站在哪裡？ (medium) | 站 → N | Adj / Adv / MW / Phrase / V
pos | 捷運站在哪裡？ (medium) | 緊張 → Adj | Adv / MW / N / V
pos | 捷運站在哪裡？ (medium) | 請問 → Phrase | Adj / Adv / MW / N / V
pos | 捷運站在哪裡？ (medium) | 謝謝 → V | Adj / Adv / MW / N / Phrase
pos | 捷運站在哪裡？ (medium) | 走 → V | Adj / Adv / N / Phrase
synonym | 我們去喝下午茶 (easy) | 一起 → 共同 | 分開 / 單獨 / 孤獨
synonym | 我們去喝下午茶 (easy) | 下午 → 午後 | 凌晨 / 早晨 / 晚上
synonym | 我們去喝下午茶 (easy) | 下午茶 → 茶會 | 午餐 / 早餐 / 晚餐
synonym | 我們去喝下午茶 (easy) | 他們 → 它們 | 你們 / 我 / 我們
synonym | 我們去喝下午茶 (easy) | 你 → 您 | 他 / 她 / 我
synonym | 我們去喝下午茶 (easy) | 做 → 幹 | 吃 / 喝 / 玩
synonym | 我們去喝下午茶 (easy) | 兩點半 → 下午2:30 | 中午12:00 / 早上8:00 / 晚上8:00
synonym | 我們去喝下午茶 (easy) | 冰淇淋 → 雪糕 | 冰棒 / 冰沙 / 冰茶
synonym | 我們去喝下午茶 (easy) | 去 → 前往 | 來 / 回 / 留
synonym | 我們去喝下午茶 (easy) | 友美 → 名字 | 同事 / 家人 / 朋友
synonym | 我們去喝下午茶 (easy) | 咖啡廳 → 咖啡店 | 書店 / 酒店 / 餐廳
synonym | 我們去喝下午茶 (easy) | 哪裡 → 什麼地方 | 什麼 / 什麼時候 / 誰
synonym | 我們去喝下午茶 (easy) | 啊 → 哦 | 呃 / 嗨 / 嗯
synonym | 我們去喝下午茶 (easy) | 喝 → 飲 | 吃 / 吐 / 拉
synonym | 我們去喝下午茶 (easy) | 在 → 於 | 來 / 去 / 回
synonym | 我們去喝下午茶 (easy) | 好吃 → 美味 | 不健康 / 不新鮮 / 難吃
synonym | 我們去喝下午茶 (easy) | 好啊 → 同意 | 不同意 / 不清楚 / 不知道
synonym | 我們去喝下午茶 (easy) | 家 → 屋 | 公司 / 公園 / 學校
synonym | 我們去喝下午茶 (easy) | 巧克力 → 朱古力 | 糖果 / 蛋糕 / 餅乾
synonym | 我們去喝下午茶 (easy) | 很多 → 許多 | 不多 / 很少 / 沒有
synonym | 我們去喝下午茶 (easy) | 想 → 想要 | 不想 / 不知道 / 知道
synonym | 我們去喝下午茶 (easy) | 我 → 自己 | 他 / 你 / 她
synonym | 我們去喝下午茶 (easy) | 星期六 → 六日 | 星期一 / 星期五 / 星期日
synonym | 我們去喝下午茶 (easy) | 有 → 具有 | 不夠 / 沒有 / 缺少
synonym | 我們去喝下午茶 (easy) | 有空 → 有時間 | 有朋友 / 有車 / 有錢
synonym | 我們去喝下午茶 (easy) | 看書 → 閱讀 | 寫作 / 畫畫 / 音樂
synonym | 我們去喝下午茶 (easy) | 知道 → 曉得 | 不明白 / 不清楚 / 不知道
synonym | 我們去喝下午茶 (easy) | 種 → 類別 | 大小 / 數量 / 顏色
synonym | 我們去喝下午茶 (easy) | 聽音樂 → 收聽 | 玩遊戲 / 看電影 / 聊天
synonym | 我們去喝下午茶 (easy) | 要 → 需要 | 吃 / 喝 / 買
synonym | 我們去喝下午茶 (easy) | 週末 → 假期 | 休息 / 工作日 / 星期一
synonym | 我們去士林夜市 (easy) | 一起 → 共同 | 分開 / 單獨 / 獨自
synonym | 我們去士林夜市 (easy) | 你 → 妳 | 他 / 她 / 我
synonym | 我們去士林夜市 (easy) | 佳玲 → 名字 | 同事 / 家人 / 朋友
synonym | 我們去士林夜市 (easy) | 做 → 幹 | 吃 / 喝 / 睡
synonym | 我們去士林夜市 (easy) | 六點 → 六時 | 七點 / 九點 / 八點
synonym | 我們去士林夜市 (easy) | 出去 → 出門 | 回家 / 留下 / 進來
synonym | 我們去士林夜市 (easy) | 士林夜市 → 夜市 | 公園 / 商場 / 餐廳
synonym | 我們去士林夜市 (easy) | 太好了 → 真棒 | 不好 / 很差 / 糟糕
synonym | 我們去士林夜市 (easy) | 好 → 好棒 | 不好 / 很差 / 糟糕
synonym | 我們去士林夜市 (easy) | 好吃 → 美味 | 不好吃 / 不新鮮 / 難吃
synonym | 我們去士林夜市 (easy) | 志豪 → 名字 | 同事 / 家人 / 朋友
synonym | 我們去士林夜市 (easy) | 我 → 自己 | 他 / 你 / 她
synonym | 我們去士林夜市 (easy) | 我們 → 我們自己 | 他們 / 你們 / 她們
synonym | 我們去士林夜市 (easy) | 找 → 尋找 | 看 / 聽 / 買
synonym | 我們去士林夜市 (easy) | 捷運站 → 地鐵站 | 巴士站 / 港口 / 火車站
synonym | 我們去士林夜市 (easy) | 星期六 → 禮拜六 | 星期一 / 星期四 / 星期日
synonym | 我們去士林夜市 (easy) | 晚上 → 傍晚 | 下午 / 中午 / 清晨
synonym | 我們去士林夜市 (easy) | 有 → 有的 | 不夠 / 沒有 / 缺少
synonym | 我們去士林夜市 (easy) | 沒事 → 一切都好 | 不舒服 / 受傷 / 生病
synonym | 我們去士林夜市 (easy) | 珍珠奶茶 → 泡茶 | 可樂 / 咖啡 / 果汁
synonym | 我們去士林夜市 (easy) | 見 → 遇見 | 看 / 聽 / 買
synonym | 我們去士林夜市 (easy) | 雞排 → 炸雞 | 牛肉 / 羊肉 / 豬肉
synonym | 捷運站在哪裡？ (easy) | 不知道 → 不清楚 | 忘記 / 想 / 記得
synonym | 捷運站在哪裡？ (easy) | 不遠 → 近 | 低 / 遠 / 高
synonym | 捷運站在哪裡？ (easy) | 去 → 前往 | 吃 / 買 / 賣
synonym | 捷運站在哪裡？ (easy) | 嗎 → 呢 | 了 / 吧 / 啊
synonym | 捷運站在哪裡？ (easy) | 婉婷 → 名字 | 女生 / 朋友 / 男生
synonym | 捷運站在哪裡？ (easy) | 學校 → 學堂 | 圖書館 / 書店 / 課本
synonym | 捷運站在哪裡？ (easy) | 學校 → 學院 | 書 / 老師 / 課程
synonym | 捷運站在哪裡？ (easy) | 很近 → 非常近 | 低 / 非常遠 / 高
synonym | 捷運站在哪裡？ (easy) | 承翰 → 名字 | 學生 / 校長 / 老師
synonym | 捷運站在哪裡？ (easy) | 捷運 → 地鐵 | 公車 / 腳踏車 / 計程車
synonym | 捷運站在哪裡？ (easy) | 捷運站 → 地鐵站 | 公車總站 / 港口 / 火車站
synonym | 捷運站在哪裡？ (easy) | 捷運站 → 車站 | 橋樑 / 路口 / 隧道
synonym | 捷運站在哪裡？ (easy) | 站在 → 位於 | 移動 / 跳躍 / 靜止
synonym | 捷運站在哪裡？ (easy) | 請問 → 問一下 | 請假 / 請客 / 請求
synonym | 捷運站在哪裡？ (easy) | 請問 → 詢問 | 介紹 / 回答 / 說明
synonym | 捷運站在哪裡？ (easy) | 謝謝 → 感謝 | 再見 / 對不起 / 抱歉
synonym | 捷運站在哪裡？ (easy) | 走 → 步行 | 游泳 / 跑 / 跳
synonym | 捷運站在哪裡？ (easy) | 走 → 行走 | 停 / 跑 / 跳
synonym | 捷運站在哪裡？ (easy) | 遠 → 遙遠 | 低 / 近 / 高
synonym | 捷運站在哪裡？ (easy) | 那裡 → 哪裡 | 右邊 / 左邊 / 這裡
synonym | 捷運站在哪裡？ (easy) | 高興 → 開心 | 生氣 / 累 / 餓
